canonical,^8.0,,^7.0|6.4|6.3|6.2|6.1,,^7.0|6.4|6.3|6.2,,^7.0|6.4|6.3|6.1,,^7.0|6.4|6.3,,^7.0|6.4|6.2|6.1,,^7.0|6.4|6.2,,^7.0|6.4|6.1,,^7.0|6.4,,^5.3,,^5.2|5.1,,^5.0,,^3,,^2,,^1,
payee_street_1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,PAYEE STREET  1,11,DATE (Of Expenditure),11,DATE (Of Expenditure),11,DATE (Of Expenditure),11,DATE (Of Expenditure),11,DATE (OF EXPENDITURE),11,DATE (OF EXPENDITURE)
payee_street_2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,PAYEE STREET  2,12,AMOUNT,12,AMOUNT,12,AMOUNT,12,AMOUNT,12,AMOUNT CONTRIBUTION AMOUNT,12,AMOUNT CONTRIBUTION AMOUNT
payee_city,13,PAYEE CITY,13,PAYEE CITY,13,PAYEE CITY,13,PAYEE CITY,13,PAYEE CITY,13,PAYEE CITY,13,PAYEE CITY,13,PAYEE CITY,13,PAYEE CITY,13,SUPPORT/OPPOSE   ,13,SUPPORT/OPPOSE   ,13,SUPPORT/OPPOSE   ,13,SUPPORT/OPPOSE   ,13,SUPPORT/OPPOSE,13,SUPPORT/OPPOSE
payee_state,14,PAYEE STATE,14,PAYEE STATE,14,PAYEE STATE,14,PAYEE STATE,14,PAYEE STATE,14,PAYEE STATE,14,PAYEE STATE,14,PAYEE STATE,14,PAYEE STATE,14,S/O FEC CAN ID NUMBER,14,S/O FEC CAN ID NUMBER,14,S/O FEC CAN ID NUMBER,14,S/O FEC CAN ID NUMBER,14,S/O FEC CAN ID NUMBER,14,FEC CANDIDATE ID NUMBER
payee_zip,15,PAYEE ZIP,15,PAYEE ZIP,15,PAYEE ZIP,15,PAYEE ZIP,15,PAYEE ZIP,15,PAYEE ZIP,15,PAYEE ZIP,15,PAYEE ZIP,15,PAYEE ZIP,15,S/O CAN/NAME,15,S/O CAN/NAME,15,S/O CAN/NAME,15,S/O CAN/NAME,15,S/O CAN/NAME,15,CANDIDATE NAME
election_code,16,ELECTION CODE,16,ELECTION CODE,16,ELECTION CODE,16,ELECTION CODE,16,ELECTION CODE,16,ELECTION CODE,16,ELECTION CODE,16,ELECTION CODE,16,ELECTION CODE,16,S/O CAN/OFFICE,16,S/O CAN/OFFICE,16,S/O CAN/OFFICE,16,S/O CAN/OFFICE,16,S/O CAN/OFF,16,CAN/OFF
election_other_description,17,ELECTION OTHER DESCRIPTION ,17,ELECTION OTHER DESCRIPTION ,17,ELECTION OTHER DESCRIPTION ,17,ELECTION OTHER DESCRIPTION ,17,ELECTION OTHER DESCRIPTION ,17,ELECTION OTHER DESCRIPTION ,17,ELECTION OTHER DESCRIPTION ,17,ELECTION OTHER DESCRIPTION ,17,ELECTION OTHER DESCRIPTION ,17,S/O CAN/STATE,17,S/O CAN/STATE,17,S/O CAN/STATE,17,S/O CAN/STATE,17,S/O STATE,17,STATE (OF ELECTION)
expenditure_date,18,EXPENDITURE DATE,18,EXPENDITURE DATE,18,EXPENDITURE DATE,18,EXPENDITURE DATE,18,EXPENDITURE DATE,18,EXPENDITURE DATE,18,EXPENDITURE DATE,18,EXPENDITURE DATE,18,EXPENDITURE DATE,18,S/O CAN/DIST,18,S/O CAN/DIST,18,S/O CAN/DIST,18,S/O CAN/DIST,18,S/O CAN/DIST,18,CAN/DIST
expenditure_amount,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,EXPENDITURE AMOUNT,19,FEC COMMITTEE ID NUMBER,19,FEC COMMITTEE ID NUMBER,19,FEC COMMITTEE ID NUMBER,19,FEC COMMITTEE ID NUMBER,19,FEC-COMMITTEE-ID-NUMBER,19,AMENDED
calendar_y_t_d_per_election_office,20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,CALENDAR Y-T-D (per election/office),20,Unused field,20,Unused field,20,Unused field,20,Unused field,20,FEC-CANDIDATE-ID-NUMBER,,
expenditure_purpose_descrip,21,EXPENDITURE PURPOSE DESCRIP,21,EXPENDITURE PURPOSE CODE,21,EXPENDITURE PURPOSE CODE,21,EXPENDITURE PURPOSE CODE,21,EXPENDITURE PURPOSE CODE,21,EXPENDITURE PURPOSE CODE,21,EXPENDITURE PURPOSE CODE,21,EXPENDITURE PURPOSE CODE,21,EXPENDITURE PURPOSE CODE,21,Unused field,21,Unused field,21,Unused field,21,Unused field,21,CANDIDATE-NAME,,
category_code,22,CATEGORY CODE,22,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE DESCRIP,22,EXPENDITURE PURPOSE DESCRIP,22,Unused field,22,Unused field,22,Unused field,22,Unused field,22,CAND-OFFICE,,
payee_cmtte_fec_id_number,23,PAYEE CMTTE FEC ID NUMBER,23,CATEGORY CODE,23,CATEGORY CODE,23,CATEGORY CODE,23,CATEGORY CODE,23,CATEGORY CODE,23,CATEGORY CODE,23,CATEGORY CODE,23,CATEGORY CODE,23,Unused field,23,Unused field,23,Unused field,23,Unused field,23,CAND-STATE (OF ELECTION),,
support_oppose_code,24,SUPPORT/OPPOSE CODE  ,24,PAYEE CMTTE FEC ID NUMBER,24,PAYEE CMTTE FEC ID NUMBER,24,PAYEE CMTTE FEC ID NUMBER,24,PAYEE CMTTE FEC ID NUMBER,24,PAYEE CMTTE FEC ID NUMBER,24,PAYEE CMTTE FEC ID NUMBER,24,PAYEE CMTTE FEC ID NUMBER,24,PAYEE CMTTE FEC ID NUMBER,24,Unused field,24,Unused field,24,Unused field,24,Unused field,24,CAND-DISTRICT,,
s_o_candidate_id_number,25,S/O CANDIDATE ID NUMBER,25,SUPPORT/OPPOSE CODE  ,25,SUPPORT/OPPOSE CODE  ,25,SUPPORT/OPPOSE CODE  ,25,SUPPORT/OPPOSE CODE  ,25,SUPPORT/OPPOSE CODE  ,25,SUPPORT/OPPOSE CODE  ,25,SUPPORT/OPPOSE CODE  ,25,SUPPORT/OPPOSE CODE  ,25,CONDUIT NAME,25,CONDUIT NAME,25,CONDUIT NAME,25,CONDUIT NAME,25,CONDUIT-NAME,,
s_o_candidate_last_name,26,S/O CANDIDATE LAST NAME,26,S/O CANDIDATE ID NUMBER,26,S/O CANDIDATE ID NUMBER,26,S/O CANDIDATE ID NUMBER,26,S/O CANDIDATE ID NUMBER,26,S/O CANDIDATE ID NUMBER,26,S/O CANDIDATE ID NUMBER,26,S/O CANDIDATE ID NUMBER,26,S/O CANDIDATE ID NUMBER,26,CONDUIT STREET 1,26,CONDUIT STREET 1,26,CONDUIT STREET 1,26,CONDUIT STREET 1,26,CONDUIT-STREET-1,,
s_o_candidate_first_name,27,S/O CANDIDATE FIRST NAME,27,S/O CANDIDATE LAST NAME,27,S/O CANDIDATE LAST NAME,27,S/O CANDIDATE LAST NAME,27,S/O CANDIDATE LAST NAME,27,S/O CANDIDATE LAST NAME,27,S/O CANDIDATE LAST NAME,27,S/O CANDIDATE LAST NAME,27,S/O CANDIDATE LAST NAME,27,CONDUIT STREET 2,27,CONDUIT STREET 2,27,CONDUIT STREET 2,27,CONDUIT STREET 2,27,CONDUIT-STREET-2,,
s_o_candinate_middle_name,28,S/O CANDINATE MIDDLE NAME,28,S/O CANDIDATE FIRST NAME,28,S/O CANDIDATE FIRST NAME,28,S/O CANDIDATE FIRST NAME,28,S/O CANDIDATE FIRST NAME,28,S/O CANDIDATE FIRST NAME,28,S/O CANDIDATE FIRST NAME,28,S/O CANDIDATE FIRST NAME,28,S/O CANDIDATE FIRST NAME,28,CONDUIT CITY,28,CONDUIT CITY,28,CONDUIT CITY,28,CONDUIT CITY,28,CONDUIT-CITY,,
s_o_candidate_prefix,29,S/O CANDIDATE PREFIX,29,S/O CANDINATE MIDDLE NAME,29,S/O CANDINATE MIDDLE NAME,29,S/O CANDINATE MIDDLE NAME,29,S/O CANDINATE MIDDLE NAME,29,S/O CANDINATE MIDDLE NAME,29,S/O CANDINATE MIDDLE NAME,29,S/O CANDINATE MIDDLE NAME,29,S/O CANDINATE MIDDLE NAME,29,CONDUIT STATE,29,CONDUIT STATE,29,CONDUIT STATE,29,CONDUIT STATE,29,CONDUIT-STATE,,
s_o_candidate_suffix,30,S/O CANDIDATE SUFFIX,30,S/O CANDIDATE PREFIX,30,S/O CANDIDATE PREFIX,30,S/O CANDIDATE PREFIX,30,S/O CANDIDATE PREFIX,30,S/O CANDIDATE PREFIX,30,S/O CANDIDATE PREFIX,30,S/O CANDIDATE PREFIX,30,S/O CANDIDATE PREFIX,30,CONDUIT ZIP,30,CONDUIT ZIP,30,CONDUIT ZIP,30,CONDUIT ZIP,30,CONDUIT-ZIP,,
s_o_candidate_office,31,S/O CANDIDATE OFFICE,31,S/O CANDIDATE SUFFIX,31,S/O CANDIDATE SUFFIX,31,S/O CANDIDATE SUFFIX,31,S/O CANDIDATE SUFFIX,31,S/O CANDIDATE SUFFIX,31,S/O CANDIDATE SUFFIX,31,S/O CANDIDATE SUFFIX,31,S/O CANDIDATE SUFFIX,31,SPACE HOLDER,31,AMENDED CD,31,AMENDED CD,31,AMENDED CD,31,AMENDED-CD,,
s_o_candidate_state,32,S/O CANDIDATE STATE,32,S/O CANDIDATE OFFICE,32,S/O CANDIDATE OFFICE,32,S/O CANDIDATE OFFICE,32,S/O CANDIDATE OFFICE,32,S/O CANDIDATE OFFICE,32,S/O CANDIDATE OFFICE,32,S/O CANDIDATE OFFICE,32,S/O CANDIDATE OFFICE,32,TRAN ID,32,TRAN ID,32,TRAN ID,32,TRAN ID,32,TRAN_ID,,
s_o_candidate_district,33,S/O CANDIDATE DISTRICT,33,S/O CANDIDATE STATE,33,S/O CANDIDATE STATE,33,S/O CANDIDATE STATE,33,S/O CANDIDATE STATE,33,S/O CANDIDATE STATE,33,S/O CANDIDATE STATE,33,S/O CANDIDATE STATE,33,S/O CANDIDATE STATE,33,CATEGORY CODE,33,CATEGORY CODE,33,CATEGORY CODE,,,33,ORIG_TRAN_ID,,
,,,34,S/O CANDIDATE DISTRICT,34,S/O CANDIDATE DISTRICT,34,S/O CANDIDATE DISTRICT,34,S/O CANDIDATE DISTRICT,34,S/O CANDIDATE DISTRICT,34,S/O CANDIDATE DISTRICT,34,S/O CANDIDATE DISTRICT,34,S/O CANDIDATE DISTRICT,34,TRANS {Purpose} CODE,34,TRANS {Purpose} CODE,34,TRANS {Purpose} CODE,,,34,SUPR_TRAN_ID,,
,,,,,,,,,,,,,,,,,,,35,Calendar YTD for election/office sought,35,Calendar YTD for election/office sought,35,Calendar YTD for election/office sought,,,,,,
,,,,,,,,,,,,,,,,,,,36,ITEM ELECT CD,36,ITEM ELECT CD,,,,,,,,
,,,,,,,,,,,,,,,,,,,37,ITEM ELECT OTHER,37,ITEM ELECT OTHER,,,,,,,,
