canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2|5.1|5.0|3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1|3,,^5.3|5.2|5.1,,^5.3|5.2|5.0|3,,^5.3|5.2|5.0,,^5.3|5.2|3,,^5.3|5.2,,^2,,^1,
date_of_election,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE OF ELECTION,11,DATE (Of Election),11,DATE (Of Election),11,DATE (Of Election),11,DATE (Of Election),11,DATE (Of Election),11,DATE (Of Election),11,DATE (Of Election),11,DATE (Of Election),11,DATE (OF ELECTION),11,DATE (OF ELECTION)
state_of_election,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE OF ELECTION,12,STATE (Of Election),12,STATE (Of Election),12,STATE (Of Election),12,STATE (Of Election),12,STATE (Of Election),12,STATE (Of Election),12,STATE (Of Election),12,STATE (Of Election),12,STATE (OF ELECTION),12,STATE (OF ELECTION)
coverage_from_date,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,COVERAGE FROM DATE,13,DATE (Coverage From),13,DATE (Coverage From),13,DATE (Coverage From),13,DATE (Coverage From),13,DATE (Coverage From),13,DATE (Coverage From),13,DATE (Coverage From),13,DATE (Coverage From),13,DATE (COVERAGE FROM),13,DATE (COVERAGE FROM)
coverage_through_date,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,COVERAGE THROUGH DATE,14,DATE (Coverage To),14,DATE (Coverage To),14,DATE (Coverage To),14,DATE (Coverage To),14,DATE (Coverage To),14,DATE (Coverage To),14,DATE (Coverage To),14,DATE (Coverage To),14,DATE (COVERAGE TO),14,DATE (COVERAGE TO)
total_costs,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS,15,TOTAL COSTS
person_designated_to_sign_last_name,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,PERSON DESIGNATED TO SIGN LAST NAME,16,NAME/FILER (as signed),16,NAME/FILER (as signed),16,NAME/FILER (as signed),16,NAME/FILER (as signed),16,NAME/FILER (as signed),16,NAME/FILER (as signed),16,NAME/FILER (as signed),16,NAME/FILER (as signed),16,IND/NAME (FILER),16,IND/NAME (FILER)
person_designated_to_sign_first_name,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,PERSON DESIGNATED TO SIGN FIRST NAME,17,DATE (Signed),17,DATE (Signed),17,DATE (Signed),17,DATE (Signed),17,DATE (Signed),17,DATE (Signed),17,DATE (Signed),17,DATE (Signed),17,DATE (SIGNED),17,DATE (SIGNED)
person_designated_to_sign_middle_name,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,PERSON DESIGNATED TO SIGN MIDDLE NAME,18,TITLE,18,TITLE,18,TITLE,18,TITLE,18,TITLE,18,TITLE,18,TITLE,18,TITLE,18,TITLE,18,TITLE
person_designated_to_sign_prefix,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,19,PERSON DESIGNATED TO SIGN PREFIX,,,,,,,,,,,,,,,,,,,,
person_designated_to_sign_suffix,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,20,PERSON DESIGNATED TO SIGN SUFFIX,,,,,,,,,,,,,,,,,,,,
person_designated_to_sign_title,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,21,PERSON DESIGNATED TO SIGN TITLE,,,,,,,,,,,,,,,,,,,,
date_signed,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,,,,,,,,,,,,,,,,,,,,
