canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1,,^5.0,
donor_prefix,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,DONOR PREFIX,11,ITEM ELECT OTHER,11,ITEM ELECT OTHER,11,ITEM ELECT OTHER
donor_suffix,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,DONOR SUFFIX,12,INDEMP,12,INDEMP,12,INDEMP
donor_street_1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,DONOR STREET  1,13,INDOCC,13,INDOCC,13,INDOCC
donor_street_2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,DONOR STREET  2,14,AGGREGATE AMT Y-T-D,14,AGGREGATE AMT Y-T-D,14,AGGREGATE AMT Y-T-D
donor_city,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DONOR CITY,15,DATE RECEIVED,15,DATE RECEIVED,15,DATE RECEIVED
donor_state,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,DONOR STATE,16,AMOUNT RECEIVED,16,AMOUNT RECEIVED,16,AMOUNT RECEIVED
donor_zip,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,DONOR ZIP,17,TRANS CODE,17,TRANS CODE,17,TRANS CODE
date_received,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,DATE RECEIVED,18,SPACE HOLDER,18,TRANS DESCRIP,18,TRANS DESCRIP
amount_received,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,AMOUNT RECEIVED,19,SPACE HOLDER,19,FEC COMMITTEE ID NUMBER,19,FEC COMMITTEE ID NUMBER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,SPACE HOLDER,20,FEC CANDIDATE ID NUMBER,20,FEC CANDIDATE ID NUMBER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,SPACE HOLDER,21,CANDIDATE NAME,21,CANDIDATE NAME
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,SPACE HOLDER,22,CAN/OFFICE,22,CAN/OFFICE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,SPACE HOLDER,23,CAN/STATE ,23,CAN/STATE 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,SPACE HOLDER,24,CAN/DIST,24,CAN/DIST
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,SPACE HOLDER,25,CONDUIT NAME,25,CONDUIT NAME
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,SPACE HOLDER,26,CONDUIT STREET1,26,CONDUIT STREET1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,SPACE HOLDER,27,CONDUIT STREET2,27,CONDUIT STREET2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,SPACE HOLDER,28,CONDUIT CITY,28,CONDUIT CITY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,SPACE HOLDER,29,CONDUIT STATE,29,CONDUIT STATE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,SPACE HOLDER,30,CONDUIT ZIP,30,CONDUIT ZIP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,SPACE HOLDER,31,MEMO CODE,31,MEMO CODE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,SPACE HOLDER,32,MEMO TEXT,32,MEMO TEXT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,SPACE HOLDER,33,AMENDED CD,33,AMENDED CD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,TRAN ID,34,TRAN ID,34,TRAN ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,BACK REF TRAN ID,35,BACK REF TRAN ID,35,BACK REF TRAN ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,BACK REF SCHED NAME,36,BACK REF SCHED NAME,36,BACK REF SCHED NAME
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,SPACE HOLDER,37,Reference to SI or SL system code that identifies the Account,37,Reference to SI or SL system code that identifies the Account
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,SPACE HOLDER,38,INCREASED LIMIT,38,INCREASED LIMIT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,CONTRIB ORGANIZATION NAME,39,CONTRIB ORGANIZATION NAME,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,CONTRIBUTOR LAST NAME,40,CONTRIBUTOR LAST NAME,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,CONTRIBUTOR FIRST NAME,41,CONTRIBUTOR FIRST NAME,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,CONTRIBUTOR MIDDLE NAME,42,CONTRIBUTOR MIDDLE NAME,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,CONTRIBUTOR PREFIX,43,CONTRIBUTOR PREFIX,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,CONTRIBUTOR SUFFIX,44,CONTRIBUTOR SUFFIX,,
