canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2|5.1|5.0|3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1|3,,^5.3|5.2|5.1,,^5.3|5.2|5.0|3,,^5.3|5.2|5.0,,^5.3|5.2|3,,^5.3|5.2,,^2,,^1,
candidate_first_name,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CANDIDATE FIRST NAME,11,CAN/OFFICE,11,CAN/OFFICE,11,CAN/OFFICE,11,CAN/OFFICE,11,CAN/OFFICE,11,CAN/OFFICE,11,CAN/OFFICE,11,CAN/OFFICE,11,CAN/OFF,11,CAN/OFF
candidate_middle_name,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CANDIDATE MIDDLE NAME,12,CAN/STATE ,12,CAN/STATE ,12,CAN/STATE ,12,CAN/STATE ,12,CAN/STATE ,12,CAN/STATE ,12,CAN/STATE ,12,CAN/STATE ,12,STATE (OF ELECTION),12,STATE (OF ELECTION)
candidate_prefix,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CANDIDATE PREFIX,13,CAN/DIST,13,CAN/DIST,13,CAN/DIST,13,CAN/DIST,13,CAN/DIST,13,CAN/DIST,13,CAN/DIST,13,CAN/DIST,13,CAN/DIST,13,CAN/DIST
candidate_suffix,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,CANDIDATE SUFFIX,14,DATE (Signed),14,DATE (Signed),14,DATE (Signed),14,DATE (Signed),14,DATE (Signed),14,DATE (Signed),14,DATE (Signed),14,DATE (Signed),14,DATE (SIGNED),14,DATE (SIGNED)
candidate_office,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,,,,,,,,,,,,,,,,,,,,
candidate_state,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,16,CANDIDATE STATE ,,,,,,,,,,,,,,,,,,,,
candidate_district,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,,,,,,,,,,,,,,,,,,,,
signer_last_name,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,18,SIGNER LAST NAME,,,,,,,,,,,,,,,,,,,,
signer_first_name,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,19,SIGNER FIRST NAME,,,,,,,,,,,,,,,,,,,,
signer_middle_name,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,20,SIGNER MIDDLE NAME,,,,,,,,,,,,,,,,,,,,
signer_prefix,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,21,SIGNER PREFIX,,,,,,,,,,,,,,,,,,,,
signer_suffix,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,22,SIGNER SUFFIX,,,,,,,,,,,,,,,,,,,,
date_signed,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,23,DATE SIGNED,,,,,,,,,,,,,,,,,,,,
