canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1|5.0|3,,^5.2|5.1|5.0,,^5.2|5.1|3,,^5.2|5.1,,^2,,^1,
contributor_street_1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,CONTRIBUTOR STREET  1,11,INDOCC,11,INDOCC,11,INDOCC,11,INDOCC,11,INDOCC,11,INDOCC,11,INDOCC
contributor_street_2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,CONTRIBUTOR STREET  2,12,DATE (Of Contribution),12,DATE (Of Contribution),12,DATE (Of Contribution),12,DATE (Of Contribution),12,DATE (Of Contribution),12,DATE (OF CONTRIBUTION),12,DATE (OF CONTRIBUTION)
contributor_city,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,CONTRIBUTOR CITY,13,AMOUNT,13,AMOUNT,13,AMOUNT,13,AMOUNT,13,AMOUNT,13,AMOUNT CONTRIB/LOANED AMT,13,AMOUNT CONTRIB/LOANED AMT
contributor_state,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,CONTRIBUTOR STATE,14,FEC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER,14,FEC-COMMITTEE-ID-NUMBER,14,AMENDED
contributor_zip,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,CONTRIBUTOR ZIP,15,FEC CANDIDATE ID NUMBER,15,FEC CANDIDATE ID NUMBER,15,FEC CANDIDATE ID NUMBER,15,FEC CANDIDATE ID NUMBER,15,FEC CANDIDATE ID NUMBER,15,FEC-CANDIDATE-ID-NUMBER,,
contributor_committee_fec_id,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CONTRIBUTOR COMMITTEE FEC ID,16,CANDIDATE NAME,16,CANDIDATE NAME,16,CANDIDATE NAME,16,CANDIDATE NAME,16,CANDIDATE NAME,16,CANDIDATE-NAME,,
contribution_date,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CONTRIBUTION DATE,17,CAN/OFFICE,17,CAN/OFFICE,17,CAN/OFFICE,17,CAN/OFFICE,17,CAN/OFFICE,17,CAND-OFFICE,,
contribution_amount,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CONTRIBUTION AMOUNT,18,CAN/STATE ,18,CAN/STATE ,18,CAN/STATE ,18,CAN/STATE ,18,CAN/STATE ,18,CAND-STATE (OF ELECTION),,
contributor_employer,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CONTRIBUTOR EMPLOYER,19,CAN/DIST,19,CAN/DIST,19,CAN/DIST,19,CAN/DIST,19,CAN/DIST,19,CAND-DISTRICT,,
contributor_occupation,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONTRIBUTOR OCCUPATION,20,CONDUIT NAME,20,CONDUIT NAME,20,CONDUIT NAME,20,CONDUIT NAME,20,CONDUIT NAME,20,CONDUIT-NAME,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,CONDUIT STREET  1,21,CONDUIT STREET  1,21,CONDUIT STREET  1,21,CONDUIT STREET  1,21,CONDUIT STREET  1,21,CONDUIT-STREET-1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,CONDUIT STREET  2,22,CONDUIT STREET  2,22,CONDUIT STREET  2,22,CONDUIT STREET  2,22,CONDUIT STREET  2,22,CONDUIT-STREET-2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,CONDUIT CITY,23,CONDUIT CITY,23,CONDUIT CITY,23,CONDUIT CITY,23,CONDUIT CITY,23,CONDUIT-CITY,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,CONDUIT STATE,24,CONDUIT STATE,24,CONDUIT STATE,24,CONDUIT STATE,24,CONDUIT STATE,24,CONDUIT-STATE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,CONDUIT ZIP,25,CONDUIT ZIP,25,CONDUIT ZIP,25,CONDUIT ZIP,25,CONDUIT ZIP,25,CONDUIT-ZIP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,SPACE HOLDER,26,AMENDED CD,26,AMENDED CD,26,AMENDED CD,26,AMENDED CD,26,AMENDED-CD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,TRAN ID,27,TRAN ID,27,TRAN ID,27,TRAN ID,27,TRAN ID,27,TRAN_ID,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,ORIG_TRAN_ID,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,SUPR_TRAN_ID,,
