canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1|5.0,,^5.2|5.1,,^3,,^2,,^1,
24hour_48hour_code,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,24HOUR 48HOUR CODE,20,TOTAL INDEP. EXPEND,20,TOTAL INDEP. EXPEND,20,TOTAL INDEP. EXPEND,20,TOTAL INDEP. EXPEND,20,TOTAL INDEP EXPEND,20,TOTAL INDEP. EXPEND total on page 1
coverage_from_date,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,COVERAGE FROM DATE,21,IND/NAME (Person Completing Form),21,IND/NAME (Person Completing Form),21,IND/NAME (Person Completing Form),21,IND/NAME (Person Completing Form),21,IND/NAME (PERSON COMPLETING FORM),21,IND/NAME (PERSON COMPLETING FORM)
coverage_through_date,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,COVERAGE THROUGH DATE,22,DATE (Signed),22,DATE (Signed),22,DATE (Signed),22,DATE (Signed),22,DATE (SIGNED),22,DATE (SIGNED)
total_contribution,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,TOTAL CONTRIBUTION,23,SPACE HOLDER,23,DATE (Notarized),23,DATE (Notarized),23,DATE (Notarized),23,DATE (NOTARIZED),23,DATE (NOTARIZED)
total_independent_expenditure,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,TOTAL INDEPENDENT EXPENDITURE,24,SPACE HOLDER,24,DATE (Notary Commission Expires),24,DATE (Notary Commission Expires),24,DATE (Notary Commission Expires),24,DATE (NOTARY COMMISSION EXPIRES),24,DATE (NOTARY COMMISSION EXPIRES)
person_completing_last_name,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,PERSON COMPLETING LAST NAME,25,SPACE HOLDER,25,IND/NAME (Notary),25,IND/NAME (Notary),25,IND/NAME (Notary),25,IND/NAME (NOTARY),25,IND/NAME (NOTARY)
person_completing_first_name,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,PERSON COMPLETING FIRST NAME,26,24HOUR 48HOUR CODE,26,24HOUR 48HOUR CODE,26,24HOUR 48HOUR CODE,,,,,,
person_completing_middle_name,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,27,PERSON COMPLETING MIDDLE NAME,,,,,,,,,,,,
person_completing_prefix,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,28,PERSON COMPLETING PREFIX,,,,,,,,,,,,
person_completing_suffix,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,29,PERSON COMPLETING SUFFIX,,,,,,,,,,,,
date_signed,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,30,DATE SIGNED,,,,,,,,,,,,
