canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2|5.1|5.0|3,,^5.2|5.1|5.0,,^5.2|5.1|3,,^5.2|5.1,,^2,,^1,
support_oppose,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,SUPPORT/OPPOSE ,11,CAN/STATE  ,11,CAN/STATE  ,11,CAN/STATE  ,11,CAN/STATE  ,11,CAN/STATE  ,11,STATE (OF ELECTION),11,CAN/OFF
s_o_candidate_id_number,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,S/O CANDIDATE ID NUMBER,12,CAN/DIST,12,CAN/DIST,12,CAN/DIST,12,CAN/DIST,12,CAN/DIST,12,CAN/DIST,12,STATE (OF ELECTION)
s_o_candidate_last_name,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,S/O CANDIDATE LAST NAME,13,RPTPGI,13,RPTPGI,13,RPTPGI,13,RPTPGI,13,RPTPGI,13,RPTPGI,13,CAN/DIST
s_o_candidate_first_name,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,S/O CANDIDATE FIRST NAME,14,COST OF COMMUNICATION,14,COST OF COMMUNICATION,14,COST OF COMMUNICATION,14,COST OF COMMUNICATION,14,COST OF COMMUNICATION,14,Cost of communication,14,RPTPGI
s_o_candidate_middle_name,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,S/O CANDIDATE MIDDLE NAME,15,SPACE HOLDER,15,AMENDED CD,15,AMENDED CD,15,AMENDED CD,15,AMENDED CD,15,AMENDED-CD,15,Cost of communication
s_o_candidate_prefix,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,S/O CANDIDATE PREFIX,16,TRAN ID,16,TRAN ID,16,TRAN ID,16,TRAN ID,16,TRAN ID,16,TRAN_ID,16,AMENDED
s_o_candidate_suffix,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,17,S/O CANDIDATE SUFFIX,,,,,,,,,,,17,ORIG_TRAN_ID,,
s_o_candidate_office,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,18,S/O CANDIDATE OFFICE,,,,,,,,,,,18,SUPR_TRAN_ID,,
s_o_candidate_state,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,19,S/O CANDIDATE STATE ,,,,,,,,,,,,,,
s_o_candidate_district,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,20,S/O CANDIDATE DISTRICT,,,,,,,,,,,,,,
