canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2,,^5.1|5.0,,^3,,^2,,^1,
election_code,11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,ELECTION CODE  {was RPTPGI},11,RPTCODE,11,RPTCODE,11,RPTCODE,11,RPTCODE,11,RPTCODE
date_of_election,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,DATE OF ELECTION,12,RPTPGI,12,RPTPGI,12,RPTPGI,12,RPTPGI,12,RPTPGI
state_of_election,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,STATE OF ELECTION,13,DATE (Of Election),13,DATE (Of Election),13,DATE (Of Election),13,DATE (OF ELECTION),13,DATE (OF ELECTION)
coverage_from_date,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,COVERAGE FROM DATE,14,STATE (Of Election),14,STATE (Of Election),14,STATE (Of Election),14,STATE (OF ELECTION),14,STATE (OF ELECTION)
coverage_through_date,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,COVERAGE THROUGH DATE,15,DATE (Coverage From),15,DATE (Coverage From),15,DATE (Coverage From),15,DATE (COVERAGE FROM),15,DATE (COVERAGE FROM)
qualified_committee,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,QUALIFIED COMMITTEE,16,DATE (Coverage To),16,DATE (Coverage To),16,DATE (Coverage To),16,DATE (COVERAGE TO),16,DATE (COVERAGE TO)
treasurer_last_name,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,TREASURER LAST NAME,17,6(b) Cash on Hand beginning,17,6(b) Cash on Hand beginning,17,6(b) Cash on Hand beginning,17,s_6(b) Cash on Hand beginning,17,s_6(b) Cash on Hand beginning
treasurer_first_name,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,TREASURER FIRST NAME,18,6(c) Total Receipts,18,6(c) Total Receipts,18,6(c) Total Receipts,18,s_6(c) total receipts,18,s_6(c) total receipts
treasurer_middle_name,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,TREASURER MIDDLE NAME,19,6(d) Subtotal,19,6(d) Subtotal,19,6(d) Subtotal,19,s_6(d) subtotal,19,s_6(d) subtotal
treasurer_prefix,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,TREASURER PREFIX,20,7. Total Disbursements,20,7. Total Disbursements,20,7. Total Disbursements,20,s_7 total disbursements,20,s_7. total disbursements
treasurer_suffix,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,TREASURER SUFFIX,21,8. Cash on Hand at Close,21,8. Cash on Hand at Close,21,8. Cash on Hand at Close,21,s_8 Cash on Hand at Close,21,s_8. Cash on Hand at Close
date_signed,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,DATE SIGNED,22,9. Debts to,22,9. Debts to,22,9. Debts to,22,s_9 Debts to,22,s_9. Debts to
6_b_cash_on_hand_beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,6(b) Cash on Hand beginning,23,10. Debts by,23,10. Debts by,23,10. Debts by,23,s_10 Debts by,23,s_10. Debts by
6_c_total_receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,6(c) Total Receipts,24,11(a)i  Itemized,24,11(a)i  Itemized,24,11(a)i  Itemized,24,s_11(a)i itemized,24,s_11(a)i itemized
6_d_subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,6(d) Subtotal,25,11(a)ii  Unitemized,25,11(a)ii  Unitemized,25,11(a)ii  Unitemized,25,s_11(a)ii unitemized,25,s_11(a)ii unitemized
7_total_disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,7. Total Disbursements,26,11(a)iii Total,26,11(a)iii Total,26,11(a)iii Total,26,s_11(a)iii total,26,s_11(a)iii total
8_cash_on_hand_at_close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,8. Cash on Hand at Close,27,11(b) Political Party Committees,27,11(b) Political Party Committees,27,11(b) Political Party Committees,27,s_11(b) Political party committees,27,s_11(b) Political party committees
9_debts_to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,9. Debts to,28,11(c) Other Political Committees (PACs),28,11(c) Other Political Committees (PACs),28,11(c) Other Political Committees (PACs),28,s_11(c) Other Political Committees (PACs),28,s_11(c) Other Political Committees (PACs)
10_debts_by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,10. Debts by,29,11(d) Total Contributions,29,11(d) Total Contributions,29,11(d) Total Contributions,29,s_11(d) total contributions,29,s_11(d) total contributions
11_a_i_itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,11(a)i  Itemized,30,12. Transfers from Affiliated/Other Party Cmtes,30,12. Transfers from Affiliated/Other Party Cmtes,30,12. Transfers from Affiliated/Other Party Cmtes,30,s_12 Transfers from Affiliated/Other Party Cmtes,30,s_12. Transfers from Affiliated/Other Party Cmtes
11_a_ii_unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,11(a)ii  Unitemized,31,13. All Loans Received,31,13. All Loans Received,31,13. All Loans Received,31,s_13 All loans Received,31,s_13. All loans Received
11_a_iii_total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,11(a)iii Total,32,14. Loan Repayments Received,32,14. Loan Repayments Received,32,14. Loan Repayments Received,32,s_14 loan repayments received,32,s_14. loan repayments received
11_b_political_party_committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,11(b) Political Party Committees,33,15. Offsets to Operating Expenditures (refunds),33,15. Offsets to Operating Expenditures (refunds),33,15. Offsets to Operating Expenditures  (refunds ...),33,s_15 offsets to Operating Expenditures (refunds),33,s_15. offsets to Operating Expenditures (refunds ...)
11_c_other_political_committees_pacs,34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,11(c) Other Political Committees (PACs),34,16. Refunds of Federal Contributions,34,16. Refunds of Federal Contributions,34,16. Refunds of Federal Contributions,34,s_16 Refunds of Federal contributions,34,s_16. Refunds of Federal contributions
11_d_total_contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,11(d) Total Contributions,35,17. Other Federal Receipts (dividends),35,17. Other Federal Receipts (dividends),35,17. Other Federal Receipts (dividends),35,s_17 Other Federal Receipts (dividends),35,s_17. Other Federal Receipts (dividends)
12_transfers_from_affiliated_other_party_cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,12. Transfers from Affiliated/Other Party Cmtes,36,18(a) Transfers from Nonfederal Account (H3),36,18(a) Transfers from Nonfederal Account (H3),36,18. Transfers from Nonfederal Account,36,s_18 transfers from Nonfederal Account,36,s_18. transfers from Nonfederal Account
13_all_loans_received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,13. All Loans Received,37,19. Total Receipts,37,19. Total Receipts,37,19. Total Receipts,37,s_19 Total Receipts,37,s_19. Total Receipts
14_loan_repayments_received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,14. Loan Repayments Received,38,20. Total Federal Receipts,38,20. Total Federal Receipts,38,20. Total Federal Receipts,38,s_20 Total Federal Receipts,38,s_20. Total Federal Receipts
15_offsets_to_operating_expenditures_refunds,39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,15. Offsets to Operating Expenditures (refunds),39,21(a)i  Federal Share,39,21(a)i  Federal Share,39,21(a)i  Federal Share,39,s_21(a)i Federal Share,39,s_21(a)i Federal Share
16_refunds_of_federal_contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,16. Refunds of Federal Contributions,40,21(a)ii  Non-Federal Share,40,21(a)ii  Non-Federal Share,40,21(a)ii  Non-Federal Share,40,s_21(a)ii non-federal share,40,s_21(a)ii non-federal share
17_other_federal_receipts_dividends,41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,17. Other Federal Receipts (dividends),41,21(b)  Other Federal Operating Expenditures,41,21(b)  Other Federal Operating Expenditures,41,21(b)  Other Federal Operating Expenditures,41,s_21(b) other Federal operating expenditures,41,s_21(b) other Federal operating expenditures
18_a_transfers_from_nonfederal_account_h3,42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,18(a) Transfers from Nonfederal Account (H3),42,21(c)  Total Operating Expenditures,42,21(c)  Total Operating Expenditures,42,21(c)  Total Operating Expenditures,42,s_21(c) total operating expenditures,42,s_21(c) total operating expenditures
18_b_transfers_from_non_federal_levin_h5,43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,18(b) Transfers from Non-Federal (Levin - H5),43,22. Transfers to Affiliated/Other Party Cmtes,43,22. Transfers to Affiliated/Other Party Cmtes,43,22. Transfers to Affiliated/Other Party Cmtes,43,s_22 Transfers to Affiliated/Other Party Cmtes,43,s_22. Transfers to Affiliated/Other Party Cmtes
