canonical,^8.0|7.0|6.4,,^8.0|7.0,,^6.3|6.2|6.1,,^6.3|6.2,,^5.3|5.1,,^5.2,,^5.0,,^3,,^2,,^1,
pcc_committee_id_number,19,PCC COMMITTEE ID NUMBER,19,PCC COMMITTEE ID NUMBER,19,PCC COMMITTEE ID NUMBER,19,PCC COMMITTEE ID NUMBER,19,STATE,19,STATE,19,STATE,19,STATE,19,STATE,19,STATE
pcc_committee_name,20,PCC COMMITTEE NAME,20,PCC COMMITTEE NAME,20,PCC COMMITTEE NAME,20,PCC COMMITTEE NAME,20,ZIP,20,ZIP,20,ZIP,20,ZIP,20,ZIP,20,ZIP
pcc_street_1,21,PCC STREET 1,21,PCC STREET 1,21,PCC STREET 1,21,PCC STREET 1,21,FEC COMMITTEE ID NUMBER (Auth),21,FEC COMMITTEE ID NUMBER (Auth),21,FEC COMMITTEE ID NUMBER (Auth),21,FEC COMMITTEE ID NUMBER (Auth),21,FEC COMMITTEE ID NUMBER (Auth),21,FEC COMMITTEE ID NUMBER (AUTH)
pcc_street_2,22,PCC STREET 2,22,PCC STREET 2,22,PCC STREET 2,22,PCC STREET 2,22,COMMITTEE NAME (Auth),22,COMMITTEE NAME (Auth),22,COMMITTEE NAME (Auth),22,COMMITTEE NAME (Auth),22,COMMITTEE NAME (Auth),22,COMMITTEE NAME (AUTH)
pcc_city,23,PCC CITY,23,PCC CITY,23,PCC CITY,23,PCC CITY,23,STREET 1,23,STREET 1,23,STREET 1,23,STREET 1,23,STREET 1,23,STREET 1
pcc_state,24,PCC STATE,24,PCC STATE,24,PCC STATE,24,PCC STATE,24,STREET 2,24,STREET 2,24,STREET 2,24,STREET 2,24,STREET 2,24,STREET 2
pcc_zip,25,PCC ZIP,25,PCC ZIP,25,PCC ZIP,25,PCC ZIP,25,CITY,25,CITY,25,CITY,25,CITY,25,CITY,25,CITY
auth_committee_id_number,26,AUTH COMMITTEE ID NUMBER,26,AUTH COMMITTEE ID NUMBER,26,AUTH COMMITTEE ID NUMBER,26,AUTH COMMITTEE ID NUMBER,26,STATE,26,STATE,26,STATE,26,STATE,26,STATE,26,STATE
auth_committee_name,27,AUTH COMMITTEE NAME,27,AUTH COMMITTEE NAME,27,AUTH COMMITTEE NAME,27,AUTH COMMITTEE NAME,27,ZIP,27,ZIP,27,ZIP,27,ZIP,27,ZIP,27,ZIP
auth_street_1,28,AUTH STREET 1,28,AUTH STREET 1,28,AUTH STREET 1,28,AUTH STREET 1,28,NAME/CAN (as signed),28,NAME/CAN (as signed),28,NAME/CAN (as signed),28,NAME/CAN (as signed),28,NAME,28,DATE (SIGNED)
auth_street_2,29,AUTH STREET 2,29,AUTH STREET 2,29,AUTH STREET 2,29,AUTH STREET 2,29,DATE (Signed),29,DATE (Signed),29,DATE (Signed),29,DATE (Signed),29,DATE (Signed),,
auth_city,30,AUTH CITY,30,AUTH CITY,30,AUTH CITY,30,AUTH CITY,30,PRI PERSONAL FUNDS DECLARED,30,PRI PERSONAL FUNDS DECLARED,30,PRI PERSONAL FUNDS DECLARED,,,,,,
auth_state,31,AUTH STATE,31,AUTH STATE,31,AUTH STATE,31,AUTH STATE,31,GEN PERSONAL FUNDS DECLARED,31,GEN PERSONAL FUNDS DECLARED,31,GEN PERSONAL FUNDS DECLARED,,,,,,
auth_zip,32,AUTH ZIP,32,AUTH ZIP,32,AUTH ZIP,32,AUTH ZIP,32,CANDIDATE LAST NAME,32,CANDIDATE LAST NAME,,,,,,,,
candidate_signature_last_name,33,CANDIDATE SIGNATURE LAST NAME,33,CANDIDATE SIGNATURE LAST NAME,33,PRI PERSONAL FUNDS DECLARED,33,PRI PERSONAL FUNDS DECLARED,33,CANDIDATE FIRST NAME,33,CANDIDATE FIRST NAME,,,,,,,,
candidate_signature_first_name,34,CANDIDATE SIGNATURE FIRST NAME,34,CANDIDATE SIGNATURE FIRST NAME,34,GEN PERSONAL FUNDS DECLARED,34,GEN PERSONAL FUNDS DECLARED,34,CANDIDATE MIDDLE NAME,34,CANDIDATE MIDDLE NAME,,,,,,,,
candidate_signature_middle_name,35,CANDIDATE SIGNATURE MIDDLE NAME,35,CANDIDATE SIGNATURE MIDDLE NAME,35,CANDIDATE SIGNATURE LAST NAME,35,CANDIDATE SIGNATURE LAST NAME,35,CANDIDATE PREFIX,35,CANDIDATE PREFIX,,,,,,,,
candidate_signature_prefix,36,CANDIDATE SIGNATURE PREFIX,36,CANDIDATE SIGNATURE PREFIX,36,CANDIDATE SIGNATURE FIRST NAME,36,CANDIDATE SIGNATURE FIRST NAME,36,CANDIDATE SUFFIX,36,CANDIDATE SUFFIX,,,,,,,,
candidate_signature_suffix,37,CANDIDATE SIGNATURE SUFFIX,37,CANDIDATE SIGNATURE SUFFIX,37,CANDIDATE SIGNATURE MIDDLE NAME,37,CANDIDATE SIGNATURE MIDDLE NAME,,,37,FORM TYPE,,,,,,,,
date_signed,38,DATE SIGNED,38,DATE SIGNED,38,CANDIDATE SIGNATURE PREFIX,38,CANDIDATE SIGNATURE PREFIX,,,38,FILER FEC CAND ID ,,,,,,,,
,,,,,39,CANDIDATE SIGNATURE SUFFIX,39,CANDIDATE SIGNATURE SUFFIX,,,39,CANDIDATE NAME,,,,,,,,
,,,,,40,DATE SIGNED,40,DATE SIGNED,,,40,STREET 1,,,,,,,,
,,,,,,,,,,,41,STREET 2,,,,,,,,
,,,,,,,,,,,42,CITY,,,,,,,,
,,,,,,,,,,,43,STATE,,,,,,,,
,,,,,,,,,,,44,ZIP,,,,,,,,
,,,,,,,,,,,45,PTY/CODE,,,,,,,,
,,,,,,,,,,,46,CAN/OFFICE,,,,,,,,
,,,,,,,,,,,47,CAN/STATE  ,,,,,,,,
,,,,,,,,,,,48,CAN/DIST,,,,,,,,
,,,,,,,,,,,49,YEAR OF ELECTION 1900-2999,,,,,,,,
,,,,,,,,,,,50,FEC COMMITTEE ID NUMBER (PCC),,,,,,,,
,,,,,,,,,,,51,COMMITTEE NAME (PCC),,,,,,,,
,,,,,,,,,,,52,STREET 1,,,,,,,,
,,,,,,,,,,,53,STREET 2,,,,,,,,
,,,,,,,,,,,54,CITY,,,,,,,,
,,,,,,,,,,,55,STATE,,,,,,,,
,,,,,,,,,,,56,ZIP,,,,,,,,
,,,,,,,,,,,57,FEC COMMITTEE ID NUMBER (Auth),,,,,,,,
,,,,,,,,,,,58,COMMITTEE NAME (Auth),,,,,,,,
,,,,,,,,,,,59,STREET 1,,,,,,,,
,,,,,,,,,,,60,STREET 2,,,,,,,,
,,,,,,,,,,,61,CITY,,,,,,,,
,,,,,,,,,,,62,STATE,,,,,,,,
,,,,,,,,,,,63,ZIP,,,,,,,,
,,,,,,,,,,,64,NAME/CAN (as signed),,,,,,,,
,,,,,,,,,,,65,DATE (Signed),,,,,,,,
,,,,,,,,,,,66,PRI PERSONAL FUNDS DECLARED,,,,,,,,
,,,,,,,,,,,67,GEN PERSONAL FUNDS DECLARED,,,,,,,,
,,,,,,,,,,,68,CANDIDATE LAST NAME,,,,,,,,
,,,,,,,,,,,69,CANDIDATE FIRST NAME,,,,,,,,
,,,,,,,,,,,70,CANDIDATE MIDDLE NAME,,,,,,,,
,,,,,,,,,,,71,CANDIDATE PREFIX,,,,,,,,
,,,,,,,,,,,72,CANDIDATE SUFFIX,,,,,,,,
