canonical,^8.0|7.0,,^6.4|6.3,,^6.2,,^6.1,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1,,^5.3|5.2|5.0,,^5.3|5.2,,^3,,^2,,^1,
5_candidate_last_name,24,5. CANDIDATE LAST NAME,24,5. CANDIDATE ID NUMBER,24,5. CANDIDATE FIRST NAME,24,5. CANDIDATE FIRST NAME,24,6. CITY,24,6. CITY,24,6. CITY,24,6. CITY,24,6. CITY,24,CITY,24,CITY
5_candidate_first_name,25,5. CANDIDATE FIRST NAME,25,5. CANDIDATE LAST NAME,25,5. CANDIDATE MIDDLE NAME,25,5. CANDIDATE MIDDLE NAME,25,6. STATE,25,6. STATE,25,6. STATE,25,6. STATE,25,6. STATE,25,STATE,25,STATE
5_candidate_middle_name,26,5. CANDIDATE MIDDLE NAME,26,5. CANDIDATE FIRST NAME,26,5. CANDIDATE PREFIX,26,5. CANDIDATE PREFIX,26,6. ZIP,26,6. ZIP,26,6. ZIP,26,6. ZIP,26,6. ZIP,26,ZIP,26,ZIP
5_candidate_prefix,27,5. CANDIDATE PREFIX,27,5. CANDIDATE MIDDLE NAME,27,5. CANDIDATE SUFFIX,27,5. CANDIDATE SUFFIX,27,6. RELATIONSHIP (w/ Above Cmte),27,6. RELATIONSHIP (w/ Above Cmte),27,6. RELATIONSHIP (w/ Above Cmte),27,6. RELATIONSHIP (w/ Above Cmte),27,6. RELATIONSHIP (w/ Above Cmte),27,RELATIONSHIP (w/ Above Cmte),27,RELATIONSHIP WITH ABOVE CMTE
5_candidate_suffix,28,5. CANDIDATE SUFFIX,28,5. CANDIDATE PREFIX,28,5. CANDIDATE OFFICE ,28,5. CANDIDATE OFFICE ,28,6. ORGANIZATION TYPE,28,6. ORGANIZATION TYPE,28,6. ORGANIZATION TYPE,28,6. ORGANIZATION TYPE,28,6. ORGANIZATION TYPE,28,ORGANIZATION TYPE,28,ORGANIZATION TYPE
5_candidate_office,29,5. CANDIDATE OFFICE ,29,5. CANDIDATE SUFFIX,29,5. CANDIDATE STATE,29,5. CANDIDATE STATE,29,7. IND/NAME  (Custodian Name),29,7. IND/NAME  (Custodian Name),29,7. IND/NAME  (Custodian Name),29,7. IND/NAME  (Custodian Name),29,7. IND/NAME  (Custodian Name),29,IND/NAME (Custodian Name),29,IND/NAME (CUSTODIAN NAME)
5_candidate_state,30,5. CANDIDATE STATE,30,5. CANDIDATE OFFICE ,30,5. CANDIDATE DISTRICT,30,5. CANDIDATE DISTRICT,30,7. STREET 1,30,7. STREET 1,30,7. STREET 1,30,7. STREET 1,30,7. STREET 1,30,STREET 1,30,STREET 1
5_candidate_district,31,5. CANDIDATE DISTRICT,31,5. CANDIDATE STATE,31,5. PARTY CODE,31,5. PARTY CODE,31,7. STREET 2,31,7. STREET 2,31,7. STREET 2,31,7. STREET 2,31,7. STREET 2,31,STREET 2,31,STREET 2
5_party_code,32,5. PARTY CODE,32,5. CANDIDATE DISTRICT,32,5. PARTY TYPE,32,5. PARTY TYPE,32,7. CITY,32,7. CITY,32,7. CITY,32,7. CITY,32,7. CITY,32,CITY,32,CITY
5_party_type,33,5. PARTY TYPE,33,5. PARTY CODE,33,5 (e). ORGANIZATION TYPE,33,7. CUSTODIAN LAST NAME,33,7. STATE,33,7. STATE,33,7. STATE,33,7. STATE,33,7. STATE,33,STATE,33,STATE
5_e_organization_type,34,5 (e). ORGANIZATION TYPE,34,5. PARTY TYPE,34,5 (f). LEADERSHIP PAC,34,7. CUSTODIAN FIRST NAME,34,7. ZIP,34,7. ZIP,34,7. ZIP,34,7. ZIP,34,7. ZIP,34,ZIP,34,ZIP
5_e_lobbyist_registrant_pac,35,5 (e). LOBBYIST/REGISTRANT PAC ,35,5 (e). ORGANIZATION TYPE,35,6. AFFILIATED CMTTE ID NUM,35,7. CUSTODIAN MIDDLE NAME,35,7. TITLE,35,7. TITLE,35,7. TITLE,35,7. TITLE,35,7. TITLE,35,TITLE,35,TITLE
5_f_lobbyist_registrant_pac,36,5 (f). LOBBYIST/REGISTRANT PAC ,36,5 (e). LOBBYIST/REGISTRANT PAC ,36,6. AFFILIATED CMTTE NAME,36,7. CUSTODIAN PREFIX,36,7. TELEPHONE,36,7. TELEPHONE,36,7. TELEPHONE,36,7. TELEPHONE,36,7. TELEPHONE,36,TELEPHONE,36,TELEPHONE
5_f_leadership_pac,37,5 (f). LEADERSHIP PAC,37,5 (f). LOBBYIST/REGISTRANT PAC ,37,6. AFFILIATED STREET 1,37,7. CUSTODIAN SUFFIX,37,8. IND/NAME  (Treasurer),37,8. IND/NAME  (Treasurer),37,8. IND/NAME  (Treasurer),37,8. IND/NAME  (Treasurer),37,8. IND/NAME  (Treasurer),37,IND/NAME (Treasurer),37,IND/NAME (TREASURER)
6_affiliated_cmtte_id_num,38,6. AFFILIATED CMTTE ID NUM,38,5 (f). LEADERSHIP PAC,38,6. AFFILIATED STREET 2,38,7. CUSTODIAN STREET 1,38,8. STREET 1,38,8. STREET 1,38,8. STREET 1,38,8. STREET 1,38,8. STREET 1,38,STREET 1,38,STREET 1
6_affiliated_cmtte_name,39,6. AFFILIATED CMTTE NAME,39,6. AFFILIATED CMTTE ID NUM,39,6. AFFILIATED CITY,39,7. CUSTODIAN STREET 2,39,8. STREET 2,39,8. STREET 2,39,8. STREET 2,39,8. STREET 2,39,8. STREET 2,39,STREET 2,39,STREET 2
6_affiliated_candidate_id_num,40,6. AFFILIATED CANDIDATE ID NUM,40,6. AFFILIATED CMTTE NAME,40,6. AFFILIATED STATE,40,7. CUSTODIAN CITY,40,8. CITY,40,8. CITY,40,8. CITY,40,8. CITY,40,8. CITY,40,CITY,40,CITY
6_affiliated_last_name,41,6. AFFILIATED LAST NAME,41,6. AFFILIATED CANDIDATE ID NUM,41,6. AFFILIATED ZIP,41,7. CUSTODIAN STATE,41,8. STATE,41,8. STATE,41,8. STATE,41,8. STATE,41,8. STATE,41,STATE,41,STATE
6_affiliated_first_name,42,6. AFFILIATED FIRST NAME,42,6. AFFILIATED LAST NAME,42,6. AFFILIATED RELATIONSHIP CODE (with Filing Committe named in field #4),42,7. CUSTODIAN ZIP,42,8. ZIP,42,8. ZIP,42,8. ZIP,42,8. ZIP,42,8. ZIP,42,ZIP,42,ZIP
6_affiliated_middle_name,43,6. AFFILIATED MIDDLE NAME,43,6. AFFILIATED FIRST NAME,43,7. CUSTODIAN LAST NAME,43,7. CUSTODIAN TITLE,43,8. TITLE,43,8. TITLE,43,8. TITLE,43,8. TITLE,43,8. TITLE,43,TITLE,43,TITLE
6_affiliated_prefix,44,6. AFFILIATED PREFIX,44,6. AFFILIATED MIDDLE NAME,44,7. CUSTODIAN FIRST NAME,44,7. CUSTODIAN TELEPHONE,44,8. TELEPHONE,44,8. TELEPHONE,44,8. TELEPHONE,44,8. TELEPHONE,44,8. TELEPHONE,44,TELEPHONE,44,TELEPHONE
6_affiliated_suffix,45,6. AFFILIATED SUFFIX,45,6. AFFILIATED PREFIX,45,7. CUSTODIAN MIDDLE NAME,45,8. TREASURER LAST NAME,45,8. IND/NAME  (Designated Agent),45,8. IND/NAME  (Designated Agent),45,8. IND/NAME  (Designated Agent),45,8. IND/NAME  (Designated Agent),45,8. IND/NAME  (Designated Agent),45,IND/NAME (Designated Agent),45,IND/NAME (DESIGNATED AGENT))
6_affiliated_street_1,46,6. AFFILIATED STREET 1,46,6. AFFILIATED SUFFIX,46,7. CUSTODIAN PREFIX,46,8. TREASURER FIRST NAME,46,8. STREET 1,46,8. STREET 1,46,8. STREET 1,46,8. STREET 1,46,8. STREET 1,46,STREET 1,46,STREET 1
6_affiliated_street_2,47,6. AFFILIATED STREET 2,47,6. AFFILIATED STREET 1,47,7. CUSTODIAN SUFFIX,47,8. TREASURER MIDDLE NAME,47,8. STREET 2,47,8. STREET 2,47,8. STREET 2,47,8. STREET 2,47,8. STREET 2,47,STREET 2,47,STREET 2
6_affiliated_city,48,6. AFFILIATED CITY,48,6. AFFILIATED STREET 2,48,7. CUSTODIAN STREET 1,48,8. TREASURER PREFIX,48,8. CITY,48,8. CITY,48,8. CITY,48,8. CITY,48,8. CITY,48,CITY,48,CITY
6_affiliated_state,49,6. AFFILIATED STATE,49,6. AFFILIATED CITY,49,7. CUSTODIAN STREET 2,49,8. TREASURER SUFFIX,49,8. STATE,49,8. STATE,49,8. STATE,49,8. STATE,49,8. STATE,49,STATE,49,STATE
6_affiliated_zip,50,6. AFFILIATED ZIP,50,6. AFFILIATED STATE,50,7. CUSTODIAN CITY,50,8. TREASURER STREET 1,50,8. ZIP,50,8. ZIP,50,8. ZIP,50,8. ZIP,50,8. ZIP,50,ZIP,50,ZIP
6_affiliated_relationship_code_with_filing_committee_named_in_field_4,51,6. AFFILIATED RELATIONSHIP CODE (with Filing Committee named in field #4),51,6. AFFILIATED ZIP,51,7. CUSTODIAN STATE,51,8. TREASURER STREET 2,51,8. TITLE,51,8. TITLE,51,8. TITLE,51,8. TITLE,51,8. TITLE,51,TITLE,51,TITLE
7_custodian_last_name,52,7. CUSTODIAN LAST NAME,52,6. AFFILIATED RELATIONSHIP CODE   (with Filing Committe named in field #4),52,7. CUSTODIAN ZIP,52,8. TREASURER CITY,52,8. TELEPHONE,52,8. TELEPHONE,52,8. TELEPHONE,52,8. TELEPHONE,52,8. TELEPHONE,52,TELEPHONE,52,TELEPHONE
7_custodian_first_name,53,7. CUSTODIAN FIRST NAME,53,7. CUSTODIAN LAST NAME,53,7. CUSTODIAN TITLE,53,8. TREASURER STATE,53,9. IND/NAME  (Bank/Depository),53,9. IND/NAME  (Bank/Depository),53,9. IND/NAME  (Bank/Depository),53,9. IND/NAME  (Bank/Depository),53,9. IND/NAME  (Bank/Depository),53,IND/NAME (Bank/Other),53,IND/NAME (BANK/OTHER)
7_custodian_middle_name,54,7. CUSTODIAN MIDDLE NAME,54,7. CUSTODIAN FIRST NAME,54,7. CUSTODIAN TELEPHONE,54,8. TREASURER ZIP,54,9. STREET 1,54,9. STREET 1,54,9. STREET 1,54,9. STREET 1,54,9. STREET 1,54,STREET 1,54,STREET 1
7_custodian_prefix,55,7. CUSTODIAN PREFIX,55,7. CUSTODIAN MIDDLE NAME,55,8. TREASURER LAST NAME,55,8. TREASURER TITLE,55,9. STREET 2,55,9. STREET 2,55,9. STREET 2,55,9. STREET 2,55,9. STREET 2,55,STREET 2,55,STREET 2
7_custodian_suffix,56,7. CUSTODIAN SUFFIX,56,7. CUSTODIAN PREFIX,56,8. TREASURER FIRST NAME,56,8. TREASURER TELEPHONE,56,9. CITY,56,9. CITY,56,9. CITY,56,9. CITY,56,9. CITY,56,CITY,56,CITY
7_custodian_street_1,57,7. CUSTODIAN STREET 1,57,7. CUSTODIAN SUFFIX,57,8. TREASURER MIDDLE NAME,57,6. AFFILIATED CMTTE ID NUM,57,9. STATE,57,9. STATE,57,9. STATE,57,9. STATE,57,9. STATE,57,STATE,57,STATE
7_custodian_street_2,58,7. CUSTODIAN STREET 2,58,7. CUSTODIAN STREET 1,58,8. TREASURER PREFIX,58,6. AFFILIATED CMTTE NAME,58,9. ZIP,58,9. ZIP,58,9. ZIP,58,9. ZIP,58,9. ZIP,58,ZIP,58,ZIP
7_custodian_city,59,7. CUSTODIAN CITY,59,7. CUSTODIAN STREET 2,59,8. TREASURER SUFFIX,59,6. AFFILIATED STREET 1,59,NAME/TREASURER (as signed),59,NAME/TREASURER (as signed),59,NAME/TREASURER (as signed),59,NAME/TREASURER (as signed),59,NAME/TREASURER (as signed),59,IND/NAME (Treasurer),59,IND/NAME (TREASURER)
7_custodian_state,60,7. CUSTODIAN STATE,60,7. CUSTODIAN CITY,60,8. TREASURER STREET 1,60,6. AFFILIATED STREET 2,60,DATE  (Signed),60,DATE  (Signed),60,DATE  (Signed),60,DATE  (Signed),60,DATE  (Signed),60,DATE (Signed),60,DATE (SIGNED)
7_custodian_zip,61,7. CUSTODIAN ZIP,61,7. CUSTODIAN STATE,61,8. TREASURER STREET 2,61,6. AFFILIATED CITY,61,COMMITTEE EMAIL,61,COMMITTEE EMAIL,61,COMMITTEE EMAIL,61,COMMITTEE EMAIL,61,COMMITTEE EMAIL,,,,
7_custodian_title,62,7. CUSTODIAN TITLE,62,7. CUSTODIAN ZIP,62,8. TREASURER CITY,62,6. AFFILIATED STATE,62,COMMITTEE WEB URL,62,COMMITTEE WEB URL,62,COMMITTEE WEB URL,62,COMMITTEE WEB URL,62,COMMITTEE WEB URL,,,,
7_custodian_telephone,63,7. CUSTODIAN TELEPHONE,63,7. CUSTODIAN TITLE,63,8. TREASURER STATE,63,6. AFFILIATED ZIP,63,COMMITTEE FAX NUMBER,63,COMMITTEE FAX NUMBER,63,COMMITTEE FAX NUMBER,63,COMMITTEE FAX NUMBER,,,,,,
8_treasurer_last_name,64,8. TREASURER LAST NAME,64,7. CUSTODIAN TELEPHONE,64,6. RELATIONSHIP (with Filing Committe named in field #4),64,6. RELATIONSHIP (with Filing     Committe named in field #4),,,,,,,,,,,,,,
8_treasurer_first_name,65,8. TREASURER FIRST NAME,65,8. TREASURER LAST NAME,65,8. TREASURER ZIP,65,6. ORGANIZATION TYPE,,,,,,,,,,,,,,
8_treasurer_middle_name,66,8. TREASURER MIDDLE NAME,66,8. TREASURER FIRST NAME,66,6. ORGANIZATION TYPE,66,8. AGENT LAST NAME,,,,,,,,,,,,,,
8_treasurer_prefix,67,8. TREASURER PREFIX,67,8. TREASURER MIDDLE NAME,67,8. TREASURER TITLE,67,8. AGENT FIRST NAME,,,,,,,,,,,,,,
8_treasurer_suffix,68,8. TREASURER SUFFIX,68,8. TREASURER PREFIX,68,8. TREASURER TELEPHONE,68,8. AGENT MIDDLE NAME,,,,,,,,,,,,,,
8_treasurer_street_1,69,8. TREASURER STREET 1,69,8. TREASURER SUFFIX,69,8. AGENT LAST NAME,69,8. AGENT PREFIX,,,,,,,,,,,,,,
8_treasurer_street_2,70,8. TREASURER STREET 2,70,8. TREASURER STREET 1,70,8. AGENT FIRST NAME,70,8. AGENT SUFFIX,,,,,,,,,,,,,,
8_treasurer_city,71,8. TREASURER CITY,71,8. TREASURER STREET 2,71,8. AGENT MIDDLE NAME,71,8. AGENT STREET 1,,,,,,,,,,,,,,
8_treasurer_state,72,8. TREASURER STATE,72,8. TREASURER CITY,72,8. AGENT PREFIX,72,8. AGENT STREET 2,,,,,,,,,,,,,,
8_treasurer_zip,73,8. TREASURER ZIP,73,8. TREASURER STATE,73,8. AGENT SUFFIX,73,8. AGENT CITY,,,,,,,,,,,,,,
8_treasurer_title,74,8. TREASURER TITLE,74,8. TREASURER ZIP,74,8. AGENT STREET 1,74,8. AGENT STATE,,,,,,,,,,,,,,
8_treasurer_telephone,75,8. TREASURER TELEPHONE,75,8. TREASURER TITLE,75,8. AGENT STREET 2,75,8. AGENT ZIP,,,,,,,,,,,,,,
8_agent_last_name,76,8. AGENT LAST NAME,76,8. TREASURER TELEPHONE,76,8. AGENT CITY,76,8. AGENT TITLE,,,,,,,,,,,,,,
8_agent_first_name,77,8. AGENT FIRST NAME,77,8. AGENT LAST NAME,77,8. AGENT STATE,77,8. AGENT TELEPHONE,,,,,,,,,,,,,,
8_agent_middle_name,78,8. AGENT MIDDLE NAME,78,8. AGENT FIRST NAME,78,8. AGENT ZIP,78,9. a) BANK NAME,,,,,,,,,,,,,,
8_agent_prefix,79,8. AGENT PREFIX,79,8. AGENT MIDDLE NAME,79,8. AGENT TITLE,79,9. a) BANK STREET 1,,,,,,,,,,,,,,
8_agent_suffix,80,8. AGENT SUFFIX,80,8. AGENT PREFIX,80,8. AGENT TELEPHONE,80,9. a) BANK STREET 2,,,,,,,,,,,,,,
8_agent_street_1,81,8. AGENT STREET 1,81,8. AGENT SUFFIX,81,9. a) BANK NAME,81,9. a) BANK CITY,,,,,,,,,,,,,,
8_agent_street_2,82,8. AGENT STREET 2,82,8. AGENT STREET 1,82,9. a) BANK STREET 1,82,9. a) BANK STATE,,,,,,,,,,,,,,
8_agent_city,83,8. AGENT CITY,83,8. AGENT STREET 2,83,9. a) BANK STREET 2,83,9. a) BANK ZIP,,,,,,,,,,,,,,
8_agent_state,84,8. AGENT STATE,84,8. AGENT CITY,84,9. a) BANK CITY,84,9. b) BANK NAME,,,,,,,,,,,,,,
8_agent_zip,85,8. AGENT ZIP,85,8. AGENT STATE,85,9. a) BANK STATE,85,9. b) BANK STREET 1,,,,,,,,,,,,,,
8_agent_title,86,8. AGENT TITLE,86,8. AGENT ZIP,86,9. a) BANK ZIP,86,9. b) BANK STREET 2,,,,,,,,,,,,,,
8_agent_telephone,87,8. AGENT TELEPHONE,87,8. AGENT TITLE,87,9. b) BANK NAME,87,9. b) BANK CITY,,,,,,,,,,,,,,
9_a_bank_name,88,9. a) BANK NAME,88,8. AGENT TELEPHONE,88,9. b) BANK STREET 1,88,9. b) BANK STATE,,,,,,,,,,,,,,
9_a_bank_street_1,89,9. a) BANK STREET 1,89,9. a) BANK NAME,89,9. b) BANK STREET 2,89,9. b) BANK ZIP,,,,,,,,,,,,,,
9_a_bank_street_2,90,9. a) BANK STREET 2,90,9. a) BANK STREET 1,90,9. b) BANK CITY,,,,,,,,,,,,,,,,
9_a_bank_city,91,9. a) BANK CITY,91,9. a) BANK STREET 2,91,9. b) BANK STATE,,,,,,,,,,,,,,,,
9_a_bank_state,92,9. a) BANK STATE,92,9. a) BANK CITY,92,9. b) BANK ZIP,,,,,,,,,,,,,,,,
9_a_bank_zip,93,9. a) BANK ZIP,93,9. a) BANK STATE,,,,,,,,,,,,,,,,,,
9_b_bank_name,94,9. b) BANK NAME,94,9. a) BANK ZIP,,,,,,,,,,,,,,,,,,
9_b_bank_street_1,95,9. b) BANK STREET 1,95,9. b) BANK NAME,,,,,,,,,,,,,,,,,,
9_b_bank_street_2,96,9. b) BANK STREET 2,96,9. b) BANK STREET 1,,,,,,,,,,,,,,,,,,
9_b_bank_city,97,9. b) BANK CITY,97,9. b) BANK STREET 2,,,,,,,,,,,,,,,,,,
9_b_bank_state,98,9. b) BANK STATE,98,9. b) BANK CITY,,,,,,,,,,,,,,,,,,
9_b_bank_zip,99,9. b) BANK ZIP,99,9. b) BANK STATE,,,,,,,,,,,,,,,,,,
,,,100,9. b) BANK ZIP,,,,,,,,,,,,,,,,,,
