canonical,^6.4|6.3|6.2|6.1,,^6.4|6.3|6.2,,^6.4|6.3|6.1,,^6.4|6.3,,^5.3,,^5.2|5.1|5.0|3,,^5.2|5.1|5.0,,^5.2|5.1|3,,^5.2|5.1,,^2,,^1,
a_description_initial_terms_and_nature_of_debt,20,A. DESCRIPTION  (Initial Terms And Nature Of Debt),20,A. DESCRIPTION  (Initial Terms And Nature Of Debt),20,A. DESCRIPTION  (Initial Terms And Nature Of Debt),20,A. DESCRIPTION  (Initial Terms And Nature Of Debt),20,FEC COMMITTEE ID NUMBER,20,FEC COMMITTEE ID NUMBER,20,FEC COMMITTEE ID NUMBER,20,FEC COMMITTEE ID NUMBER,20,FEC COMMITTEE ID NUMBER,20,FEC-COMMITTEE-ID-NUMBER,20,E DESC (N IF NO EXPLAIN)
b_description_efforts_made_by_committee_to_pay_debt,21,B. DESCRIPTION  (Efforts Made By Committee To Pay Debt),21,B. DESCRIPTION  (Efforts Made By Committee To Pay Debt),21,B. DESCRIPTION  (Efforts Made By Committee To Pay Debt),21,B. DESCRIPTION  (Efforts Made By Committee To Pay Debt),21,FEC CANDIDATE ID NUMBER,21,FEC CANDIDATE ID NUMBER,21,FEC CANDIDATE ID NUMBER,21,FEC CANDIDATE ID NUMBER,21,FEC CANDIDATE ID NUMBER,21,FEC-CANDIDATE-ID-NUMBER,21,NAME of creditor or representative
c_description_steps_taken_by_creditor_to_collect,22,C. DESCRIPTION  (Steps Taken By Creditor To Collect),22,C. DESCRIPTION  (Steps Taken By Creditor To Collect),22,C. DESCRIPTION  (Steps Taken By Creditor To Collect),22,C. DESCRIPTION  (Steps Taken By Creditor To Collect),22,CANDIDATE NAME,22,CANDIDATE NAME,22,CANDIDATE NAME,22,CANDIDATE NAME,22,CANDIDATE NAME,22,CANDIDATE-NAME,22,DATE (SIGNED)
d_yes_no_effort_made_by_creditor_to_collect,23,D. YES/NO  (effort made by creditor to collect),23,D. YES/NO  (effort made by creditor to collect),23,D. YES/NO  (effort made by creditor to collect),23,D. YES/NO  (effort made by creditor to collect),23,CAN/OFFICE,23,CAN/OFFICE,23,CAN/OFFICE,23,CAN/OFFICE,23,CAN/OFFICE,23,CAND-OFFICE,23,AMENDED
d_description_if_no_explain,24,D. DESCRIPTION  (IF NO, Explain),24,D. DESCRIPTION  (IF NO, Explain),24,D. DESCRIPTION  (IF NO, Explain),24,D. DESCRIPTION  (IF NO, Explain),24,CAN/STATE ,24,CAN/STATE ,24,CAN/STATE ,24,CAN/STATE ,24,CAN/STATE ,24,CAND-STATE (OF ELECTION),,
e_yes_no_terms_of_debt_settlement_comparable,25,E. YES/NO  (terms of debt settlement comparable),25,E. YES/NO  (terms of debt settlement comparable),25,E. YES/NO  (terms of debt settlement comparable),25,E. YES/NO  (terms of debt settlement comparable),25,CAN/DIST,25,CAN/DIST,25,CAN/DIST,25,CAN/DIST,25,CAN/DIST,25,CAND-DISTRICT,,
e_description_if_no_explain,26,E. DESCRIPTION  (IF NO, Explain),26,E. DESCRIPTION  (IF NO, Explain),26,E. DESCRIPTION  (IF NO, Explain),26,E. DESCRIPTION  (IF NO, Explain),26,NAME of creditor or representative,26,NAME of creditor or representative,26,NAME of creditor or representative,26,NAME of creditor or representative,26,NAME of creditor or representative,26,NAME of creditor or representative,,
creditor_committee_id_number,27,CREDITOR COMMITTEE ID NUMBER,27,CREDITOR COMMITTEE ID NUMBER,27,CREDITOR COMMITTEE ID NUMBER,27,CREDITOR COMMITTEE ID NUMBER,27,DATE (Signed),27,DATE (Signed),27,DATE (Signed),27,DATE (Signed),27,DATE (Signed),27,DATE (SIGNED),,
creditor_candidate_id_number,28,CREDITOR CANDIDATE ID NUMBER,28,CREDITOR CANDIDATE ID NUMBER,28,CREDITOR CANDIDATE ID NUMBER,28,CREDITOR CANDIDATE ID NUMBER,28,SPACE HOLDER,28,AMENDED CD,28,AMENDED CD,28,AMENDED CD,28,AMENDED CD,28,AMENDED-CD,,
creditor_candidate_last_name,29,CREDITOR CANDIDATE LAST NAME,29,CREDITOR CANDIDATE LAST NAME,29,CREDITOR CANDIDATE LAST NAME,29,CREDITOR CANDIDATE LAST NAME,29,TRAN ID,29,TRAN ID,29,TRAN ID,29,TRAN ID,29,TRAN ID,29,TRAN_ID,,
creditor_candidate_first_name,30,CREDITOR CANDIDATE FIRST NAME,30,CREDITOR CANDIDATE FIRST NAME,30,CREDITOR CANDIDATE FIRST NAME,30,CREDITOR CANDIDATE FIRST NAME,,,,,,,,,,,30,ORIG_TRAN_ID,,
creditor_candidate_middle_name,31,CREDITOR CANDIDATE MIDDLE NAME,31,CREDITOR CANDIDATE MIDDLE NAME,31,CREDITOR CANDIDATE MIDDLE NAME,31,CREDITOR CANDIDATE MIDDLE NAME,,,,,,,,,,,31,SUPR_TRAN_ID,,
creditor_candidate_prefix,32,CREDITOR CANDIDATE PREFIX,32,CREDITOR CANDIDATE PREFIX,32,CREDITOR CANDIDATE PREFIX,32,CREDITOR CANDIDATE PREFIX,,,,,,,,,,,,,,
creditor_candidate_suffix,33,CREDITOR CANDIDATE SUFFIX,33,CREDITOR CANDIDATE SUFFIX,33,CREDITOR CANDIDATE SUFFIX,33,CREDITOR CANDIDATE SUFFIX,,,,,,,,,,,,,,
creditor_candidate_office,34,CREDITOR CANDIDATE OFFICE,34,CREDITOR CANDIDATE OFFICE,34,CREDITOR CANDIDATE OFFICE,34,CREDITOR CANDIDATE OFFICE,,,,,,,,,,,,,,
creditor_candidate_state,35,CREDITOR CANDIDATE STATE ,35,CREDITOR CANDIDATE STATE ,35,CREDITOR CANDIDATE STATE ,35,CREDITOR CANDIDATE STATE ,,,,,,,,,,,,,,
creditor_candidate_district,36,CREDITOR CANDIDATE DISTRICT,36,CREDITOR CANDIDATE DISTRICT,36,CREDITOR CANDIDATE DISTRICT,36,CREDITOR CANDIDATE DISTRICT,,,,,,,,,,,,,,
signature_of_representative_last_name,37,SIGNATURE OF REPRESENTATIVE LAST NAME,37,SIGNATURE OF REPRESENTATIVE LAST NAME,37,SIGNATURE OF REPRESENTATIVE LAST NAME,37,SIGNATURE OF REPRESENTATIVE LAST NAME,,,,,,,,,,,,,,
signature_of_representative_first_name,38,SIGNATURE OF REPRESENTATIVE FIRST NAME,38,SIGNATURE OF REPRESENTATIVE FIRST NAME,38,SIGNATURE OF REPRESENTATIVE FIRST NAME,38,SIGNATURE OF REPRESENTATIVE FIRST NAME,,,,,,,,,,,,,,
signature_of_representative_middle_name,39,SIGNATURE OF REPRESENTATIVE MIDDLE NAME,39,SIGNATURE OF REPRESENTATIVE MIDDLE NAME,39,SIGNATURE OF REPRESENTATIVE MIDDLE NAME,39,SIGNATURE OF REPRESENTATIVE MIDDLE NAME,,,,,,,,,,,,,,
signature_of_representative_prefix,40,SIGNATURE OF REPRESENTATIVE PREFIX,40,SIGNATURE OF REPRESENTATIVE PREFIX,40,SIGNATURE OF REPRESENTATIVE PREFIX,40,SIGNATURE OF REPRESENTATIVE PREFIX,,,,,,,,,,,,,,
signature_of_representative_suffix,41,SIGNATURE OF REPRESENTATIVE SUFFIX,41,SIGNATURE OF REPRESENTATIVE SUFFIX,41,SIGNATURE OF REPRESENTATIVE SUFFIX,41,SIGNATURE OF REPRESENTATIVE SUFFIX,,,,,,,,,,,,,,
date_signed,42,DATE SIGNED,42,DATE SIGNED,42,DATE SIGNED,42,DATE SIGNED,,,,,,,,,,,,,,
