canonical,^8.0,,^7.0|6.4|6.3|6.2|6.1,,^7.0|6.4|6.3|6.2,,^7.0|6.4|6.3|6.1,,^7.0|6.4|6.3,,^7.0|6.4|6.2|6.1,,^7.0|6.4|6.2,,^7.0|6.4|6.1,,^7.0|6.4,,^5.3,,^5.2|5.1|5.0,,^5.2|5.1,
yes_no_activity_is_generic_campaign,29,YES/NO  (Activity is Generic Campaign),29,YES/NO  (Activity Is Voter ID),29,YES/NO  (Activity Is Voter ID),29,YES/NO  (Activity Is Voter ID),29,YES/NO  (Activity Is Voter ID),29,YES/NO  (Activity Is Voter ID),29,YES/NO  (Activity Is Voter ID),29,YES/NO  (Activity Is Voter ID),29,YES/NO  (Activity Is Voter ID),29,CONDUIT COMMITTEE ID,29,CONDUIT COMMITTEE ID,29,CONDUIT COMMITTEE ID
memo_code,30,MEMO CODE,30,YES/NO  (Activity is Generic Campaign),30,YES/NO  (Activity is Generic Campaign),30,YES/NO  (Activity is Generic Campaign),30,YES/NO  (Activity is Generic Campaign),30,YES/NO  (Activity is Generic Campaign),30,YES/NO  (Activity is Generic Campaign),30,YES/NO  (Activity is Generic Campaign),30,YES/NO  (Activity is Generic Campaign),30,CONDUIT NAME,30,CONDUIT NAME,30,CONDUIT NAME
memo_text_description,31,MEMO TEXT/DESCRIPTION,31,MEMO CODE,31,MEMO CODE,31,MEMO CODE,31,MEMO CODE,31,MEMO CODE,31,MEMO CODE,31,MEMO CODE,31,MEMO CODE,31,CONDUIT STREET 1,31,CONDUIT STREET 1,31,CONDUIT STREET 1
,,,32,MEMO TEXT/DESCRIPTION,32,MEMO TEXT/DESCRIPTION,32,MEMO TEXT/DESCRIPTION,32,MEMO TEXT/DESCRIPTION,32,MEMO TEXT/DESCRIPTION,32,MEMO TEXT/DESCRIPTION,32,MEMO TEXT/DESCRIPTION,32,MEMO TEXT/DESCRIPTION,32,CONDUIT STREET 2,32,CONDUIT STREET 2,32,CONDUIT STREET 2
,,,,,,,,,,,,,,,,,,,33,CONDUIT CITY,33,CONDUIT CITY,33,CONDUIT CITY
,,,,,,,,,,,,,,,,,,,34,CONDUIT STATE,34,CONDUIT STATE,34,CONDUIT STATE
,,,,,,,,,,,,,,,,,,,35,CONDUIT ZIP,35,CONDUIT ZIP,35,CONDUIT ZIP
,,,,,,,,,,,,,,,,,,,36,MEMO CODE,36,MEMO CODE,36,MEMO CODE
,,,,,,,,,,,,,,,,,,,37,MEMO TEXT,37,MEMO TEXT,37,MEMO TEXT
,,,,,,,,,,,,,,,,,,,38,SPACE HOLDER,38,AMENDED CD,38,AMENDED CD
,,,,,,,,,,,,,,,,,,,39,TRAN ID,39,TRAN ID,39,TRAN ID
,,,,,,,,,,,,,,,,,,,40,BACK REF TRAN ID,40,BACK REF TRAN ID,40,BACK REF TRAN ID
,,,,,,,,,,,,,,,,,,,41,BACK REF SCHED NAME,41,BACK REF SCHED NAME,41,BACK REF SCHED NAME
