canonical,^6.4|6.3|6.2|6.1,,^6.4|6.3|6.2,,^6.4|6.3|6.1,,^6.4|6.3,,^5.3|5.2|5.1|5.0|3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1|3,,^5.3|5.2|5.1,,^5.3|5.2|5.0|3,,^5.3|5.2|5.0,,^5.3|5.2|3,,^5.3|5.2,,^2,,^1,
2_total_assets_to_be_liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,2. Total assets to be liquidated,11,s_2 Total assets to be liquidated,11,s_2. Total assets to be liquidated
3_total_assets,12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,3. Total (assets),12,s_3. Total (assets),12,s_3. Total (assets)
4_year_to_date_receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,4. Year to date receipts,13,s_4 Year to date receipts,13,s_4. Year to date receipts
5_year_to_date_disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,5. Year to date disbursements,14,s_5 Year to date disbursements,14,s_5. Year to date disbursements
6_total_amount_of_debts_owed_by_committee,15,6. Total amount of debts owed by committee,15,6. Total amount of debts owed by committee,15,6. Total amount of debts owed by committee,15,6. Total amount of debts owed by committee,15,6. Total amount of debts owed by cmte,15,6. Total amount of debts owed by cmte,15,6. Total amount of debts owed by cmte,15,6. Total amount of debts owed by cmte,15,6. Total amount of debts owed by cmte,15,6. Total amount of debts owed by cmte,15,6. Total amount of debts owed by cmte,15,6. Total amount of debts owed by cmte,15,s_6 Total amount of debts owed by cmte,15,s_6. Total amount of debts owed by cmte
7_total_number_of_creditors_owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,7. Total number of creditors owed,16,s_7 Total number of creditors owed,16,s_7. Total number of creditors owed
8_number_of_creditors_in_part_ii_of_this_plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,8. Number of creditors in part II of this plan,17,s_8 Number of creditors in part II of this plan,17,s_8. Number of creditors in part II of this plan
9_total_amount_of_debts_owed_to_creditors_in_part_ii_of_plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,9. Total amount of debts owed to creditors in part II of plan,18,s_9 Total amount of debts owed to creditors in part II of plan,18,s_9. Total amount of debts owed to creditors in part II of plan
10_total_amount_to_be_paid_to_creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,10. Total amount to be paid to creditors,19,s_10 Total amount to be paid to creditors in part II of this plan,19,s_10. Total amount to be paid to creditors in part II of this plan
11_yes_no_is_the_committee_terminating_activities,20,11. YES/NO   (Is the committee terminating activities),20,11. YES/NO   (Is the committee terminating activities),20,11. YES/NO   (Is the committee terminating activities),20,11. YES/NO   (Is the committee terminating activities),20,11. YESNO   (Is the cmte terminating activities),20,11. YESNO   (Is the cmte terminating activities),20,11. YESNO   (Is the cmte terminating activities),20,11. YESNO   (Is the cmte terminating activities),20,11. YESNO   (Is the cmte terminating activities),20,11. YESNO   (Is the cmte terminating activities),20,11. YESNO   (Is the cmte terminating activities),20,11. YESNO   (Is the cmte terminating activities),20,s_11 YESNO (Is the cmte terminating activities),20,s_11. YESNO (Is the cmte terminating activities)
11_yes_date_planned_for_termination_report,21,11. YES DATE    (PLANNED FOR TERMINATION REPORT),21,11. YES DATE    (PLANNED FOR TERMINATION REPORT),21,11. YES DATE    (PLANNED FOR TERMINATION REPORT),21,11. YES DATE    (PLANNED FOR TERMINATION REPORT),21,11. Y DATE    (PLANNED FOR TERMINATION RPT),21,11. Y DATE    (PLANNED FOR TERMINATION RPT),21,11. Y DATE    (PLANNED FOR TERMINATION RPT),21,11. Y DATE    (PLANNED FOR TERMINATION RPT),21,11. Y DATE    (PLANNED FOR TERMINATION RPT),21,11. Y DATE    (PLANNED FOR TERMINATION RPT),21,11. Y DATE    (PLANNED FOR TERMINATION RPT),21,11. Y DATE    (PLANNED FOR TERMINATION RPT),21,s_11 Y DATE (PLANNED FOR TERMINATION RPT),21,s_11.Y DATE (PLANNED FOR TERMINATION RPT)
12_yes_no_if_this_is_an_auth_committee_are_there_other_auth_committees,22,12. YES/NO   (If this is an AUTH committee are there other AUTH committees) ,22,12. YES/NO   (If this is an AUTH committee are there other AUTH committees) ,22,12. YES/NO   (If this is an AUTH committee are there other AUTH committees) ,22,12. YES/NO   (If this is an AUTH committee are there other AUTH committees) ,22,12. YESNO   (If this is an auth cmtte are there other auth cmtte.) ,22,12. YESNO   (If this is an auth cmtte are there other auth cmtte.) ,22,12. YESNO   (If this is an auth cmtte are there other auth cmtte.) ,22,12. YESNO   (If this is an auth cmtte are there other auth cmtte.) ,22,12. YESNO   (If this is an auth cmtte are there other auth cmtte.) ,22,12. YESNO   (If this is an auth cmtte are there other auth cmtte.) ,22,12. YESNO   (If this is an auth cmtte are there other auth cmtte.) ,22,12. YESNO   (If this is an auth cmtte are there other auth cmtte.) ,22,s_12 YESNO (If this is an authorized committee are there other authorized committees.),22,s_12. YESNO (If this is an authorized committee are there other authorized committees.)
12_description_if_yes_list_auth_committee_id_names,23,12. DESCRIPTION  (IF YES list AUTH COMMITTEE ID/NAMES),23,12. DESCRIPTION  (IF YES list AUTH COMMITTEE ID/NAMES),23,12. DESCRIPTION  (IF YES list AUTH COMMITTEE ID/NAMES),23,12. DESCRIPTION  (IF YES list AUTH COMMITTEE ID/NAMES),23,12. Y DESC  (Y IF YES list AUTH CMTE ID/NAMES),23,12. Y DESC  (Y IF YES list AUTH CMTE ID/NAMES),23,12. Y DESC  (Y IF YES list AUTH CMTE ID/NAMES),23,12. Y DESC  (Y IF YES list AUTH CMTE ID/NAMES),23,12. Y DESC  (Y IF YES list AUTH CMTE ID/NAMES),23,12. Y DESC  (Y IF YES list AUTH CMTE ID/NAMES),23,12. Y DESC  (Y IF YES list AUTH CMTE ID/NAMES),23,12. Y DESC  (Y IF YES list AUTH CMTE ID/NAMES),23,s_12 DESC (Y IF YES list AUTH CMTE ID/NAMES),23,s_12. DESC (Y IF YES list AUTH CMTE ID/NAMES)
13_yes_no_sufficient_funds_to_pay_total_amount,24,13. YES/NO   (sufficient funds to pay total amount),24,13. YES/NO   (sufficient funds to pay total amount),24,13. YES/NO   (sufficient funds to pay total amount),24,13. YES/NO   (sufficient funds to pay total amount),24,13. YESNO   (sufficient funds to pay total amount indicated in this plan),24,13. YESNO   (sufficient funds to pay total amount indicated in this plan),24,13. YESNO   (sufficient funds to pay total amount indicated in this plan),24,13. YESNO   (sufficient funds to pay total amount indicated in this plan),24,13. YESNO   (sufficient funds to pay total amount indicated in this plan),24,13. YESNO   (sufficient funds to pay total amount indicated in this plan),24,13. YESNO   (sufficient funds to pay total amount indicated in this plan),24,13. YESNO   (sufficient funds to pay total amount indicated in this plan),24,s_13 YESNO (have sufficient funds to pay total amount indicated in this plan),24,s_13. YESNO (have sufficient funds to pay total amount indicated in this plan)
13_description_if_no_steps_taken_to_obtain_the_funds,25,13. DESCRIPTION  (IF NO, steps taken to obtain the funds),25,13. DESCRIPTION  (IF NO, steps taken to obtain the funds),25,13. DESCRIPTION  (IF NO, steps taken to obtain the funds),25,13. DESCRIPTION  (IF NO, steps taken to obtain the funds),25,13. N DESC  (N If NO what steps will be taken to obtain the funds),25,13. N DESC  (N If NO what steps will be taken to obtain the funds),25,13. N DESC  (N If NO what steps will be taken to obtain the funds),25,13. N DESC  (N If NO what steps will be taken to obtain the funds),25,13. N DESC  (N If NO what steps will be taken to obtain the funds),25,13. N DESC  (N If NO what steps will be taken to obtain the funds),25,13. N DESC  (N If NO what steps will be taken to obtain the funds),25,13. N DESC  (N If NO what steps will be taken to obtain the funds),25,s_13 DESC (N If NO what steps will be taken to obtain the funds),25,s_13. DESC (N If NO what steps will be taken to obtain the funds)
14_yes_no_has_the_committee_filed_previous_plans,26,14. YES/NO   (Has the committee filed previous plans),26,14. YES/NO   (Has the committee filed previous plans),26,14. YES/NO   (Has the committee filed previous plans),26,14. YES/NO   (Has the committee filed previous plans),26,14. YESNO   (Has the committee filed previous debt settlement plans),26,14. YESNO   (Has the committee filed previous debt settlement plans),26,14. YESNO   (Has the committee filed previous debt settlement plans),26,14. YESNO   (Has the committee filed previous debt settlement plans),26,14. YESNO   (Has the committee filed previous debt settlement plans),26,14. YESNO   (Has the committee filed previous debt settlement plans),26,14. YESNO   (Has the committee filed previous debt settlement plans),26,14. YESNO   (Has the committee filed previous debt settlement plans),26,s_14 YESNO (Has the committee filed previous debt settlement plans),26,s_14. YESNO (Has the committee filed previous debt settlement plans)
15_yes_no_after_disposing_any_residual_funds?,27,15. YES/NO  (After disposing, any residual funds?),27,15. YES/NO  (After disposing, any residual funds?),27,15. YES/NO  (After disposing, any residual funds?),27,15. YES/NO  (After disposing, any residual funds?),27,15. YESNO  (After disposing ... will there be any residual funds?),27,15. YESNO  (After disposing ... will there be any residual funds?),27,15. YESNO  (After disposing ... will there be any residual funds?),27,15. YESNO  (After disposing ... will there be any residual funds?),27,15. YESNO  (After disposing ... will there be any residual funds?),27,15. YESNO  (After disposing ... will there be any residual funds?),27,15. YESNO  (After disposing ... will there be any residual funds?),27,15. YESNO  (After disposing ... will there be any residual funds?),27,s_15 YESNO (After disposing of all the committee's debts and obligations; will there be any residual funds?),27,s_15. YESNO (After disposing of all the committee's debts and obligations; will there be any residual funds?)
15_description_if_yes_how_will_the_funds_be_disbursed,28,15. DESCRIPTION (IF YES, how will the funds be disbursed),28,15. DESCRIPTION (IF YES, how will the funds be disbursed),28,15. DESCRIPTION (IF YES, how will the funds be disbursed),28,15. DESCRIPTION (IF YES, how will the funds be disbursed),28,15. Y DESC (IF YES how will the funds be disbursed),28,15. Y DESC (IF YES how will the funds be disbursed),28,15. Y DESC (IF YES how will the funds be disbursed),28,15. Y DESC (IF YES how will the funds be disbursed),28,15. Y DESC (IF YES how will the funds be disbursed),28,15. Y DESC (IF YES how will the funds be disbursed),28,15. Y DESC (IF YES how will the funds be disbursed),28,15. Y DESC (IF YES how will the funds be disbursed),28,s_15 DESC (IF YES how will the funds be disbursed),28,s_15. DESC (IF YES how will the funds be disbursed)
part_iii_yes_no_does_committee_have_sufficient_funds_to_pay_the_remaining,29,PART III YES/NO  (Does committee have sufficient funds to pay the remaining),29,PART III YES/NO  (Does committee have sufficient funds to pay the remaining),29,PART III YES/NO  (Does committee have sufficient funds to pay the remaining),29,PART III YES/NO  (Does committee have sufficient funds to pay the remaining),29,PART III YESNO  (Does cmtte have sufficient funds to pay the remaining,29,PART III YESNO  (Does cmtte have sufficient funds to pay the remaining,29,PART III YESNO  (Does cmtte have sufficient funds to pay the remaining,29,PART III YESNO  (Does cmtte have sufficient funds to pay the remaining,29,PART III YESNO  (Does cmtte have sufficient funds to pay the remaining,29,PART III YESNO  (Does cmtte have sufficient funds to pay the remaining,29,PART III YESNO  (Does cmtte have sufficient funds to pay the remaining,29,PART III YESNO  (Does cmtte have sufficient funds to pay the remaining,29,PART III YESNO (Does committee have sufficient funds to pay the remaining amts to be paid or offered.,29,PART IIIYESNO (Does committee have sufficient funds to pay the remaining amts to be paid or offered.
part_iii_description_if_no_steps_taken_to_obtain_the_funds,30,PART III DESCRIPTION   (IF NO, steps taken to obtain the funds.),30,PART III DESCRIPTION   (IF NO, steps taken to obtain the funds.),30,PART III DESCRIPTION   (IF NO, steps taken to obtain the funds.),30,PART III DESCRIPTION   (IF NO, steps taken to obtain the funds.),30,PART III DESC    (N If no, what steps will be taken to obtain the funds.),30,PART III DESC    (N If no, what steps will be taken to obtain the funds.),30,PART III DESC    (N If no, what steps will be taken to obtain the funds.),30,PART III DESC    (N If no, what steps will be taken to obtain the funds.),30,PART III DESC    (N If no, what steps will be taken to obtain the funds.),30,PART III DESC    (N If no, what steps will be taken to obtain the funds.),30,PART III DESC    (N If no, what steps will be taken to obtain the funds.),30,PART III DESC    (N If no, what steps will be taken to obtain the funds.),30,30-PART III DESC (N If no, what steps will be taken to obtain the funds),30,30-PART III DESC (N If no, what steps will be taken to obtain the funds.)
treasurer_last_name,31,TREASURER LAST NAME,31,TREASURER LAST NAME,31,TREASURER LAST NAME,31,TREASURER LAST NAME,31,NAME/TREASURER (as signed),31,NAME/TREASURER (as signed),31,NAME/TREASURER (as signed),31,NAME/TREASURER (as signed),31,NAME/TREASURER (as signed),31,NAME/TREASURER (as signed),31,NAME/TREASURER (as signed),31,NAME/TREASURER (as signed),31,Treasurer’s NAME,31,Treasurer’s NAME
treasurer_first_name,32,TREASURER FIRST NAME,32,TREASURER FIRST NAME,32,TREASURER FIRST NAME,32,TREASURER FIRST NAME,32,DATE (Signed),32,DATE (Signed),32,DATE (Signed),32,DATE (Signed),32,DATE (Signed),32,DATE (Signed),32,DATE (Signed),32,DATE (Signed),32,DATE (SIGNED),32,DATE (SIGNED)
treasurer_middle_name,33,TREASURER MIDDLE NAME,33,TREASURER MIDDLE NAME,33,TREASURER MIDDLE NAME,33,TREASURER MIDDLE NAME,,,,,,,,,,,,,,,,,,,,
treasurer_prefix,34,TREASURER PREFIX,34,TREASURER PREFIX,34,TREASURER PREFIX,34,TREASURER PREFIX,,,,,,,,,,,,,,,,,,,,
treasurer_suffix,35,TREASURER SUFFIX,35,TREASURER SUFFIX,35,TREASURER SUFFIX,35,TREASURER SUFFIX,,,,,,,,,,,,,,,,,,,,
date_signed,36,DATE SIGNED,36,DATE SIGNED,36,DATE SIGNED,36,DATE SIGNED,,,,,,,,,,,,,,,,,,,,
