canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3,,^5.2,,^5.1|5.0,,^3,
administrative_ratio_applies,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,ADMINISTRATIVE RATIO APPLIES ,11,SPACE HOLDER,11,SPACE HOLDER,11,HSE/SEN PTY CMTES PERCENTAGE ACTUAL  FEDERAL,11,SEP. SEG FUNDS & PERCENTAGE NON CONNECTED CMTES ESTIMATED NON FEDERAL CANDIDATE SUPPORT 
generic_voter_drive_ratio_applies,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,GENERIC VOTER DRIVE RATIO APPLIES,12,SPACE HOLDER,12,SPACE HOLDER,12,SEPARATE SEGREGATED FUNDS  (Old H1/Sec-3),12,SEP. SEG FUNDS & NON CONNECTED CMTES ACTUAL FEDERAL CANDIDATE SUPPORT 
public_communications_referencing_party_only_ratio_applies,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,13,SPACE HOLDER,13,SPACE HOLDER,13,SEPARATE SEGREGATED FUNDS  (New H1/Sec-2),13,SEP. SEG FUNDS & NON CONNECTED CMTES ACTUAL NON FEDERAL CANDIDATE  SUPPORT 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,SPACE HOLDER,14,SPACE HOLDER,14,Estimated Direct Cand Support - Federal Percent,14,SEP. SEG FUNDS & PERCENTAGE NON CONNECTED CMTES ACTUAL FEDERAL CANDIDATE  SUPPORT 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,SPACE HOLDER,15,SPACE HOLDER,15,Estimated Direct Cand Support - Non-Federal Pct,15,1. BALLOT COMP PRES BLANK OR 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,SPACE HOLDER,16,SPACE HOLDER,16,Actual Direct Candidate Support - Federal Amount,16,2. BALLOT COMP SEN  BLANK OR 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,SPACE HOLDER,17,SPACE HOLDER,17,Actual Direct Candidate Support - Non-Fed Amount ,17,3. BALLOT COMP HSE   BLANK OR 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,SPACE HOLDER,18,SPACE HOLDER,18,Actual Direct Candidate Support - Federal Percent,18,4. SUBTOTAL FED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,SPACE HOLDER,19,SPACE HOLDER,19,STATE AND LOCAL PARTY COMMITTEES (Old H1/Sec-4),19,5. BALLOT COMP GOV  BLANK OR 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,SPACE HOLDER,20,SPACE HOLDER,20,1. BALLOT COMP PRES BLANK OR 1,20,6. OTHER STATEWIDE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,SPACE HOLDER,21,SPACE HOLDER,21,2. BALLOT COMP SEN  BLANK OR 1,21,7. STATE SENATE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,SPACE HOLDER,22,SPACE HOLDER,22,3. BALLOT COMP HSE   BLANK OR 1,22,8. STATE REP.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,SPACE HOLDER,23,SPACE HOLDER,23,4. SUBTOTAL FED,23,9. LOCAL CANDIDATES  BLANK, 1 OR 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,SPACE HOLDER,24,SPACE HOLDER,24,5. BALLOT COMP GOV  BLANK OR 1,24,10. EXTRA NON-FED POINT  BLANK OR 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,SPACE HOLDER,25,SPACE HOLDER,25,6. OTHER STATEWIDE,25,11. SUBTOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,SPACE HOLDER,26,SPACE HOLDER,26,7. STATE SENATE,26,12. TOTAL POINTS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,SPACE HOLDER,27,SPACE HOLDER,27,8. STATE REP.,27,FEDERAL ALLOCATION PERCENTAGE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,SPACE HOLDER,28,INTERNAL USE ONLY,28,9. LOCAL CANDIDATES  BLANK, 1 OR 2,28,AMENDED CD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,TRAN ID,29,TRAN ID,29,10. EXTRA NON-FED POINT  BLANK OR 1,29,TRAN ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A.  STATE AND LOCAL PARTY COMMITTEES,30,State and Local Party Committee Presidential-Only Election Year (28% Federal),30,11. SUBTOTAL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,State and Local Party Committee Presidential-Only Election Year (28% Federal),31,State and Local Party Committee Presidential and Senate Election Year (36% Federal),31,12. TOTAL POINTS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,State and Local Party Committee Presidential and Senate Election Year (36% Federal),32,State and Local Party Committee Senate-Only Election Year (21% Federal),32,FEDERAL ALLOCATION PERCENTAGE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,State and Local Party Committee Senate-Only Election Year (21% Federal),33,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),33,AMENDED CD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),34,FLAT MINIMUM FEDERAL PERCENTAGE ,34,TRAN ID,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,B.  SEPARATE SEGREGATED FUNDS AND NONCONNECTED COMMITTEES,35,FEDERAL PERCENT,35,New H1/Sec-1 uses Fields #30 - #33.  The new H1/Sec-2 still uses fields #10 - #14.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,FLAT MINIMUM FEDERAL PERCENTAGE ,36,NON-FEDERAL PERCENT ,36,State and Local Party Committee Presidential-Only Election Year (28% Federal),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,FEDERAL PERCENT,37,ADMINISTRATIVE RATIO RATIO ,37,State and Local Party Committee Presidential and Senate Election Year (36% Federal),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,NONFEDERAL PERCENT ,38,GENERIC VOTER DRIVE RATIO,38,State and Local Party Committee Senate-Only Election Year (21% Federal),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,ADMINISTRATIVE RATIO APPLIES ,39,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO,39,State and Local Party Committee Non-Presidential and Non-Senate Election Year (15% Federal),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,GENERIC VOTER DRIVE RATIO APPLIES,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,PUBLIC COMMUNICATIONS REFERENCING PARTY ONLY RATIO APPLIES,,,,,,
