canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^8.0|7.0|6.4|6.3|6.2,,^8.0|7.0|6.4|6.3|6.1,,^8.0|7.0|6.4|6.3,,^8.0|7.0|6.4|6.2|6.1,,^8.0|7.0|6.4|6.2,,^8.0|7.0|6.4|6.1,,^8.0|7.0|6.4,,^8.0|7.0|6.3|6.2|6.1,,^8.0|7.0|6.3|6.2,,^8.0|7.0|6.3|6.1,,^8.0|7.0|6.3,,^8.0|7.0|6.2|6.1,,^8.0|7.0|6.2,,^8.0|7.0|6.1,,^8.0|7.0,,^5.3|5.2|5.1|5.0|3,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1|3,,^5.3|5.2|5.1,,^5.3|5.2|5.0|3,,^5.3|5.2|5.0,,^5.3|5.2|3,,^5.3|5.2,,^2,,^1,
i_candidate_suffix,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18,I CANDIDATE SUFFIX,18, DATE (Of Contribution),18, DATE (Of Contribution),18, DATE (Of Contribution),18, DATE (Of Contribution),18, DATE (Of Contribution),18, DATE (Of Contribution),18, DATE (Of Contribution),18, DATE (Of Contribution),18,DATE (Of Contribution),18,DATE (OF CONTRIBUTION)
i_candidate_office,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,I CANDIDATE OFFICE,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER,19,FEC CANDIDATE ID NUMBER
i_candidate_state,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,I CANDIDATE STATE ,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME,20,CANDIDATE NAME
i_candidate_dist,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,I CANDIDATE DIST,21,CAN/OFFICE,21,CAN/OFFICE,21,CAN/OFFICE,21,CAN/OFFICE,21,CAN/OFFICE,21,CAN/OFFICE,21,CAN/OFFICE,21,CAN/OFFICE,21,CAN/OFF,21,CAN/OFF
i_date_of_contribution,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,I DATE OF CONTRIBUTION,22,CAN/STATE ,22,CAN/STATE ,22,CAN/STATE ,22,CAN/STATE ,22,CAN/STATE ,22,CAN/STATE ,22,CAN/STATE ,22,CAN/STATE ,22,STATE (Of Election),22,STATE (OF ELECTION)
ii_candidate_id_number,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,II CANDIDATE ID NUMBER,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST,23,CAN/DIST
ii_candidate_last_name,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,II CANDIDATE LAST NAME,24,DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (Of Contribution),24,DATE (OF CONTRIBUTION)
ii_candidate_first_name,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,II CANDIDATE FIRST NAME,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER,25,FEC CANDIDATE ID NUMBER
ii_candidate_middle_name,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,II CANDIDATE MIDDLE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME,26,CANDIDATE NAME
ii_candidate_prefix,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,II CANDIDATE PREFIX,27,CAN/OFFICE,27,CAN/OFFICE,27,CAN/OFFICE,27,CAN/OFFICE,27,CAN/OFFICE,27,CAN/OFFICE,27,CAN/OFFICE,27,CAN/OFFICE,27,CAN/OFF,27,CAN/OFF
ii_candidate_suffix,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,II CANDIDATE SUFFIX,28,CAN/STATE ,28,CAN/STATE ,28,CAN/STATE ,28,CAN/STATE ,28,CAN/STATE ,28,CAN/STATE ,28,CAN/STATE ,28,CAN/STATE ,28,STATE (Of Election),28,STATE (OF ELECTION)
ii_candidate_office,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,II CANDIDATE OFFICE,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST,29,CAN/DIST
ii_candidate_state,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,II CANDIDATE STATE ,30,DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (Of Contribution),30,DATE (OF CONTRIBUTION)
ii_candidate_dist,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,II CANDIDATE DIST,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER,31,FEC CANDIDATE ID NUMBER
ii_date_of_contribution,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,II DATE OF CONTRIBUTION,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME,32,CANDIDATE NAME
iii_candidate_id_number,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,III CANDIDATE ID NUMBER,33,CAN/OFFICE,33,CAN/OFFICE,33,CAN/OFFICE,33,CAN/OFFICE,33,CAN/OFFICE,33,CAN/OFFICE,33,CAN/OFFICE,33,CAN/OFFICE,33,CAN/OFF,33,CAN/OFF
iii_candidate_last_name,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,III CANDIDATE LAST NAME,34,CAN/STATE ,34,CAN/STATE ,34,CAN/STATE ,34,CAN/STATE ,34,CAN/STATE ,34,CAN/STATE ,34,CAN/STATE ,34,CAN/STATE ,34,STATE (Of Election),34,STATE (OF ELECTION)
