canonical,^8.0,,^7.0,,^6.4|6.3|6.2|6.1,,^6.4|6.3|6.2,,^6.4|6.3|6.1,,^6.4|6.3,,^5.3,,^5.2,,^5.1|5.0,,^3,
payee_street_2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,PAYEE STREET  2,14,NON FEDERAL SHARE,14,NON FEDERAL SHARE,14,NON FEDERAL SHARE,14,NON FEDERAL SHARE
payee_city,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,PAYEE CITY,15,SPACE HOLDER,15,SPACE HOLDER,15,YESNO  (Activity Is Admin./Voter Drive),15,YESNO  (Activity Is Admin./Voter Drive)
payee_state,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,PAYEE STATE,16,YESNO  (Activity is Direct Fundrainsig),16,YESNO  (Activity is Direct Fundrainsig),16,YESNO  (Activity is Direct Fundrainsig),16,YESNO  (Activity Is Fundrainsig)
payee_zip,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,PAYEE ZIP,17,YESNO  (Activity is an Exempt Activity),17,YESNO  (Activity is an Exempt Activity),17,YESNO  (Activity is an Exempt Activity),17,YESNO  (Activity Is Exempt)
account_event_identifier,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,ACCOUNT/EVENT IDENTIFIER,18,YESNO  (Act. Direct Candidate Support),18,YESNO  (Act. Direct Candidate Support),18,YESNO  (Act. Direct Candidate Support),18,YESNO  (Act. Direct Can Support)
expenditure_date,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EXPENDITURE DATE,19,EVENT YEAR-TO-DATE,19,EVENT YEAR-TO-DATE,19,EVENT YEAR-TO-DATE,19,EVENT YEAR-TO-DATE
total_fed_nonfed_amount,20,TOTAL FED-NONFED AMOUNT,20,TOTAL FED-NONFED AMOUNT,20,TOTAL FED-NONFED AMOUNT,20,TOTAL FED-NONFED AMOUNT,20,TOTAL FED-NONFED AMOUNT,20,TOTAL FED-NONFED AMOUNT,20,ADDITIONAL DESCRIPTION,20,ADDITIONAL DESCRIPTION,20,ADDITIONAL DESCRIPTION,20,ADDITIONAL DESCRIPTION
federal_share,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEDERAL SHARE,21,FEC COMMITTEE ID NUMBER,21,FEC COMMITTEE ID NUMBER,21,FEC COMMITTEE ID NUMBER,21,FEC COMMITTEE ID NUMBER
nonfederal_share,22,NONFEDERAL SHARE,22,NONFEDERAL SHARE,22,NONFEDERAL SHARE,22,NONFEDERAL SHARE,22,NONFEDERAL SHARE,22,NONFEDERAL SHARE,22,FEC CANDIDATE ID NUMBER,22,FEC CANDIDATE ID NUMBER,22,FEC CANDIDATE ID NUMBER,22,FEC CANDIDATE ID NUMBER
activity_event_total_ytd,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,ACTIVITY/EVENT TOTAL YTD,23,CANDIDATE NAME,23,CANDIDATE NAME,23,CANDIDATE NAME,23,CANDIDATE NAME
expenditure_purpose_descrip,24,EXPENDITURE PURPOSE DESCRIP,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,EXPENDITURE PURPOSE CODE,24,CAN/OFFICE,24,CAN/OFFICE,24,CAN/OFFICE,24,CAN/OFFICE
category_code,25,CATEGORY CODE,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,EXPENDITURE PURPOSE DESCRIP,25,CAN/STATE,25,CAN/STATE,25,CAN/STATE,25,CAN/STATE
yes_no_activity_is_administrative_only,26,YES/NO  (Activity is Administrative - Only),26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CATEGORY CODE,26,CAN/DIST,26,CAN/DIST,26,CAN/DIST,26,CAN/DIST
yes_no_activity_is_direct_fundraising,27,YES/NO  (Activity is Direct Fundraising),27,YES/NO  (Activity is Administrative - Only),27,YES/NO  (Activity is Administrative - Only),27,YES/NO  (Activity is Administrative - Only),27,YES/NO  (Activity is Administrative - Only),27,YES/NO  (Activity is Administrative - Only),27,CONDUIT NAME,27,CONDUIT NAME,27,CONDUIT NAME,27,CONDUIT NAME
yes_no_activity_is_an_exempt_activity,28,YES/NO  (Activity is an Exempt Activity),28,YES/NO  (Activity is Direct Fundraising),28,YES/NO  (Activity is Direct Fundrainsig),28,YES/NO  (Activity is Direct Fundrainsig),28,YES/NO  (Activity is Direct Fundrainsig),28,YES/NO  (Activity is Direct Fundrainsig),28,CONDUIT STREET 1,28,CONDUIT STREET 1,28,CONDUIT STREET 1,28,CONDUIT STREET 1
yes_no_activity_is_generic_voter_drive_only,29,YES/NO  (Activity is Generic Voter Drive - Only),29,YES/NO  (Activity is an Exempt Activity),29,YES/NO  (Activity is an Exempt Activity),29,YES/NO  (Activity is an Exempt Activity),29,YES/NO  (Activity is an Exempt Activity),29,YES/NO  (Activity is an Exempt Activity),29,CONDUIT STREET 2,29,CONDUIT STREET 2,29,CONDUIT STREET 2,29,CONDUIT STREET 2
yes_no_activity_is_direct_candidate_support,30,YES/NO  (Activity is Direct Candidate Support),30,YES/NO  (Activity is Generic Voter Drive - Only),30,YES/NO  (Activity is Generic Voter Drive - Only),30,YES/NO  (Activity is Generic Voter Drive - Only),30,YES/NO  (Activity is Generic Voter Drive - Only),30,YES/NO  (Activity is Generic Voter Drive - Only),30,CONDUIT CITY,30,CONDUIT CITY,30,CONDUIT CITY,30,CONDUIT CITY
yes_no_activity_is_public_communications_made_by_pac,31,YES/NO  (Activity is Public Communications {Referring Only to Party} Made by PAC,31,YES/NO  (Activity is Direct Candidate Support),31,YES/NO  (Activity is Direct Candidate Support),31,YES/NO  (Activity is Direct Candidate Support),31,YES/NO  (Activity is Direct Candidate Support),31,YES/NO  (Activity is Direct Candidate Support),31,CONDUIT STATE,31,CONDUIT STATE,31,CONDUIT STATE,31,CONDUIT STATE
memo_code,32,MEMO CODE,32,YES/NO  (Activity is Public Communications {Referring Only to Party} Made by PAC,32,YES/NO  (Activity is Public Communications {Referring Only to Party} Made by PAC,32,YES/NO  (Activity is Public Communications {Referring Only to Party} Made by PAC,32,YES/NO  (Activity is Public Communications {Referring Only to Party} Made by PAC,32,YES/NO  (Activity is Public Communications {Referring Only to Party} Made by PAC,32,CONDUIT ZIP,32,CONDUIT ZIP,32,CONDUIT ZIP,32,CONDUIT ZIP
memo_text_description,33,MEMO TEXT/DESCRIPTION,33,MEMO CODE,33,MEMO CODE,33,MEMO CODE,33,MEMO CODE,33,MEMO CODE,33,SPACE HOLDER,33,INTERNAL USE ONLY,33,AMENDED CD,33,AMENDED CD
,,,34,MEMO TEXT/DESCRIPTION,34,MEMO TEXT/DESCRIPTION,34,MEMO TEXT/DESCRIPTION,34,MEMO TEXT/DESCRIPTION,34,MEMO TEXT/DESCRIPTION,34,TRAN ID,34,TRAN ID,34,TRAN ID,34,TRAN ID
,,,,,,,,,,,,,35,MEMO CODE,35,MEMO CODE,35,MEMO CODE,35,MEMO CODE
,,,,,,,,,,,,,36,MEMO TEXT,36,MEMO TEXT,36,MEMO TEXT,36,MEMO TEXT
,,,,,,,,,,,,,37,BACK REF TRAN ID,37,BACK REF TRAN ID,37,BACK REF TRAN ID,37,BACK REF TRAN ID
,,,,,,,,,,,,,38,BACK REF SCHED NAME,38,BACK REF SCHED NAME,38,BACK REF SCHED NAME,38,BACK REF SCHED NAME
,,,,,,,,,,,,,39,YESNO  (Activity is Administrative - Only),39,YESNO  (Activity is Administrative - Only),39,YESNO  (Activity is Administrative - Only),,
,,,,,,,,,,,,,40,YESNO  (Activity is Generic Voter Drive - Only),40,YESNO  (Activity is Generic Voter Drive - Only),40,YESNO  (Activity is Generic Voter Drive - Only),,
,,,,,,,,,,,,,41,CATEGORY CODE,41,CATEGORY CODE,41,CATEGORY CODE,,
,,,,,,,,,,,,,42,TRANS CODE,42,TRANS CODE,42,TRANS CODE,,
,,,,,,,,,,,,,43,YESNO  (Activity is Public Communications Referring Only to Party {Made by PAC}),43,YESNO  (Activity is Public Communications Referring Only to Party {Made by PAC}),,,,
