canonical,^8.0|7.0,,^6.4|6.3|6.2,,^6.4|6.3,,^6.1,,^5.3|5.2|5.1|5.0,,^5.3|5.2|5.1,,^5.3|5.2|5.0,,^5.3|5.2,
,,,78,18(c) Total Non-Federal Transfers (18a+18b),78,18(c) Total Non-Federal Transfers (18a+18b),,,,,,,,,,
,,,79,19. Total Receipts,79,19. Total Receipts,,,,,,,,,,
,,,80,20. Total Federal Receipts,80,20. Total Federal Receipts,,,,,,,,,,
,,,81,21(a)i Federal Share,81,21(a)i Federal Share,,,,,,,,,,
,,,82,21(a)ii Non-Federal Share,82,21(a)ii Non-Federal Share,,,,,,,,,,
,,,83,21(b) Other Federal Operating Expenditures,83,21(b) Other Federal Operating Expenditures,,,,,,,,,,
,,,84,21(c) Total operating Expenditures,84,21(c) Total operating Expenditures,,,,,,,,,,
,,,85,22. Transfers to Affiliated/Other Party Cmtes,85,22. Transfers to Affiliated/Other Party Cmtes,,,,,,,,,,
,,,86,23. Contributions to Federal Candidates/Cmtes,86,23. Contributions to Federal Candidates/Cmtes,,,,,,,,,,
,,,87,24. Independent Expenditures,87,24. Independent Expenditures,,,,,,,,,,
,,,88,25. Coordinated Expend made by Party Cmtes,88,25. Coordinated Expend made by Party Cmtes,,,,,,,,,,
,,,89,26. Loan Repayments Made,89,26. Loan Repayments Made,,,,,,,,,,
,,,90,27. Loans Made,90,27. Loans Made,,,,,,,,,,
,,,91,28(a) Individuals/Persons,91,28(a) Individuals/Persons,,,,,,,,,,
,,,92,28(b) Political Party Committees,92,28(b) Political Party Committees,,,,,,,,,,
,,,93,28(c) Other Political  Committees,93,28(c) Other Political  Committees,,,,,,,,,,
,,,94,28(d) Total contributions Refunds,94,28(d) Total contributions Refunds,,,,,,,,,,
,,,95,29. Other Disbursements,95,29. Other Disbursements,,,,,,,,,,
,,,96,30(a)i  Shared Federal Activity (H6) Fed Share,96,30(a)i  Shared Federal Activity (H6) Fed Share,,,,,,,,,,
,,,97,30(a)ii Shared Federal Activity (H6) Non-Fed,97,30(a)ii Shared Federal Activity (H6) Non-Fed,,,,,,,,,,
,,,98,30(b) Non-Allocable 100% Fed Election Activity,98,30(b) Non-Allocable 100% Fed Election Activity,,,,,,,,,,
,,,99,30(c) Total Federal Election Activity,99,30(c) Total Federal Election Activity,,,,,,,,,,
,,,100,31. Total Disbursements,100,31. Total Disbursements,,,,,,,,,,
,,,101,32. Total Federal Disbursements,101,32. Total Federal Disbursements,,,,,,,,,,
,,,102,33. Total Contributions,102,33. Total Contributions,,,,,,,,,,
,,,103,34. Total Contribution Refunds,103,34. Total Contribution Refunds,,,,,,,,,,
,,,104,35. Net contributions,104,35. Net contributions,,,,,,,,,,
,,,105,36. Total Federal Operating Expenditures,105,36. Total Federal Operating Expenditures,,,,,,,,,,
,,,106,37. Offsets to Operating Expenditures,106,37. Offsets to Operating Expenditures,,,,,,,,,,
,,,107,38. Net Operating Expenditures,107,38. Net Operating Expenditures,,,,,,,,,,
